location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k
12300,"Augusta-Waterville, ME",58,9,44.37767241379311,-69.74129310344827,0.15517241379310345,121929,0.7381344881037324
12740,"Barre, VT",68,17,44.25670588235294,-72.57854411764706,0.25,58283,2.916802498155551
13980,"Blacksburg-Christiansburg-Radford, VA",27,14,37.198,-80.43162962962963,0.5185185185185185,182692,0.7663170801129771
15540,"Burlington-South Burlington, VT",73,10,44.48183561643835,-73.196,0.136986301369863,218881,0.456869257724517
20260,"Duluth, MN-WI",41,19,46.86973170731707,-92.17468292682926,0.4634146341463415,278659,0.6818369404899896
24640,"Greenfield Town, MA",36,9,42.59188888888889,-72.57969444444444,0.25,70787,1.2714198934832668
25420,"Harrisburg-Carlisle, PA",99,10,40.25328282828283,-76.91733333333333,0.10101010101010101,571101,0.17510037629070865
35840,"North Port-Sarasota-Bradenton, FL",72,9,27.375708333333332,-82.5337638888889,0.125,805139,0.11178194075805543
36500,"Olympia-Tumwater, WA",63,9,47.03798412698413,-122.89492063492064,0.14285714285714285,280289,0.3210971532953487
38340,"Pittsfield, MA",54,19,42.36072222222222,-73.24205555555555,0.35185185185185186,126485,1.5021544056607503
40220,"Roanoke, VA",38,13,37.245973684210526,-79.95344736842105,0.34210526315789475,313488,0.41468891951207065
41420,"Salem, OR",75,12,44.943333333333335,-123.02666666666667,0.16,424968,0.2823742022928785
41620,"Salt Lake City, UT",147,17,40.74924489795919,-111.89808843537415,0.11564625850340136,1205238,0.14105097914270875
42200,"Santa Maria-Santa Barbara, CA",65,9,34.575723076923076,-119.97866153846154,0.13846153846153847,445606,0.20197214579695966
44140,"Springfield, MA",128,13,42.2362265625,-72.5877265625,0.1015625,629506,0.20651113730448953
54063,Monroe County,5,5,37.5058,-80.5678,1,13373,3.7388768413968445
