place_1_id,place_2_id,count,place_1_name,place_1_long,place_1_lat,place_2_name,place_2_long,place_2_lat
12300,12740,3,"Augusta-Waterville, ME",-69.74129310344827,44.37767241379311,"Barre, VT",-72.57854411764706,44.25670588235294
12740,38340,4,"Barre, VT",-72.57854411764706,44.25670588235294,"Pittsfield, MA",-73.24205555555555,42.36072222222222
13980,40220,2,"Blacksburg-Christiansburg-Radford, VA",-80.43162962962963,37.198,"Roanoke, VA",-79.95344736842105,37.245973684210526
15540,12740,3,"Burlington-South Burlington, VT",-73.196,44.48183561643835,"Barre, VT",-72.57854411764706,44.25670588235294
20260,12740,4,"Duluth, MN-WI",-92.17468292682926,46.86973170731707,"Barre, VT",-72.57854411764706,44.25670588235294
24640,12740,2,"Greenfield Town, MA",-72.57969444444444,42.59188888888889,"Barre, VT",-72.57854411764706,44.25670588235294
25420,12740,3,"Harrisburg-Carlisle, PA",-76.91733333333333,40.25328282828283,"Barre, VT",-72.57854411764706,44.25670588235294
35840,12740,2,"North Port-Sarasota-Bradenton, FL",-82.5337638888889,27.375708333333332,"Barre, VT",-72.57854411764706,44.25670588235294
36500,20260,4,"Olympia-Tumwater, WA",-122.89492063492064,47.03798412698413,"Duluth, MN-WI",-92.17468292682926,46.86973170731707
38340,41620,6,"Pittsfield, MA",-73.24205555555555,42.36072222222222,"Salt Lake City, UT",-111.89808843537415,40.74924489795919
40220,13980,2,"Roanoke, VA",-79.95344736842105,37.245973684210526,"Blacksburg-Christiansburg-Radford, VA",-80.43162962962963,37.198
41420,41620,5,"Salem, OR",-123.02666666666667,44.943333333333335,"Salt Lake City, UT",-111.89808843537415,40.74924489795919
41620,38340,6,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,"Pittsfield, MA",-73.24205555555555,42.36072222222222
41620,41420,5,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,"Salem, OR",-123.02666666666667,44.943333333333335
42200,41620,2,"Santa Maria-Santa Barbara, CA",-119.97866153846154,34.575723076923076,"Salt Lake City, UT",-111.89808843537415,40.74924489795919
44140,38340,4,"Springfield, MA",-72.5877265625,42.2362265625,"Pittsfield, MA",-73.24205555555555,42.36072222222222
54063,44140,1,Monroe County,-80.5678,37.5058,"Springfield, MA",-72.5877265625,42.2362265625
