location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
33860,"Montgomery, AL",29,3,32.20098488275862,-86.2198451,0.10344827586206896,374042,0.08020489677629786,14
27140,"Jackson, MS",30,3,32.30442398666667,-90.40549961666667,0.1,581552,0.05158610064104328,9
44180,"Springfield, MO",46,4,37.2581957,-93.3406409,0.08695652173913043,462300,0.08652390222799049,19
27620,"Jefferson City, MO",23,4,38.5032331,-92.2800271,0.17391304347826086,151298,0.26437890785073165,10
17860,"Columbia, MO",43,3,38.9898614,-92.3102022,0.06976744186046512,178523,0.16804557395965786,5
19780,"Des Moines-West Des Moines, IA",63,4,41.668044293650794,-93.57644839841271,0.06349206349206349,645100,0.06200589055960316,7
30700,"Lincoln, NE",57,5,40.7835474,-96.6886584,0.08771929824561403,331179,0.15097575631305124,13
23060,"Fort Wayne, IN",36,4,41.0918553,-85.0722302,0.1111111111111111,434001,0.09216568625417913,8
11460,"Ann Arbor, MI",83,3,42.2523272,-83.8446336,0.03614457831325301,369208,0.08125501072566141,2
18140,"Columbus, OH",94,5,39.98616735744681,-82.98810763404256,0.05319148936170213,2082475,0.02400989207553512,6
28940,"Knoxville, TN",53,3,35.976417826415094,-83.94430556981132,0.05660377358490566,875797,0.03425451331758387,12
40060,"Richmond, VA",117,4,37.53645799401709,-77.50296491623932,0.03418803418803419,1292911,0.03093793772347826,17
39300,"Providence-Warwick, RI-MA",111,5,41.79659436036036,-71.48685305675676,0.04504504504504504,1617057,0.03092036953552039,16
12420,"Austin-Round Rock, TX",216,8,30.240524131018518,-97.70256376296297,0.037037037037037035,2115230,0.0378209461855212,3
13740,"Billings, MT",25,3,45.879985227999995,-108.336808232,0.12,170740,0.1757057514349303,4
44060,"Spokane-Spokane Valley, WA",75,3,47.63268786,-117.40108899866667,0.04,563958,0.053195450725053994,18
28420,"Kennewick-Richland, WA",37,3,46.27782055675676,-119.41778656756756,0.08108108108108109,290570,0.10324534535568021,11
36500,"Olympia-Tumwater, WA",59,4,46.9358216,-122.8301524,0.06779661016949153,280289,0.14270984590904387,15
11260,"Anchorage, AK",61,3,61.301033450819666,-149.32256917213115,0.04918032786885246,400647,0.07487888340609064,1
