location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k
02016,Aleutians West Census Area,3,0,51.948964,179.6211882,0,5726,0
02050,Bethel Census Area,3,0,60.9291413,-160.1526246,0,18079,0
02100,Haines Borough,2,0,59.0984037,-135.5757906,0,2518,0
02105,Hoonah-Angoon Census Area,2,0,58.2534617,-136.3207314,0,2139,0
02122,Kenai Peninsula Borough,18,1,60.3666677,-152.3222833,0.05555555555555555,58522,0.1708759099142203
02150,Kodiak Island Borough,6,0,57.7044003,-153.9183721,0,13519,0
02164,Lake and Peninsula Borough,1,0,58.1086744,-156.4140007,0,1607,0
02180,Nome Census Area,4,0,64.7836858,-164.1889119,0,9968,0
02185,North Slope Borough,3,0,69.4493427,-153.4728302,0,9831,0
02195,Petersburg Borough,3,0,57.1124581,-133.0085979,0,3259,0
02220,Sitka City and Borough,6,0,57.1932044,-135.3673965,0,8686,0
02261,Valdez-Cordova Census Area,5,0,61.3498403,-145.0231406,0,9224,0
02275,Wrangell City and Borough,2,0,56.317416,-132.343978,0,2511,0
02282,Yakutat City and Borough,1,0,59.9630242,-141.7615873,0,607,0
05001,Arkansas County,1,0,34.2895697,-91.3765466,0,17904,0
06009,Calaveras County,1,0,38.1838996,-120.5614415,0,45642,0
06011,Colusa County,2,0,39.1777385,-122.2375629,0,21675,0
06027,Inyo County,1,0,36.561977,-117.4039269,0,17948,0
06063,Plumas County,1,0,39.9922953,-120.8243709,0,18740,0
06093,Siskiyou County,2,0,41.5879861,-122.5332868,0,43784,0
08015,Chaffee County,6,0,38.7382234,-106.3166833,0,19651,0
08049,Grand County,1,1,40.1232049,-106.0959348,1,15356,0.6512112529304507
08051,Gunnison County,1,0,38.6726401,-107.0665057,0,16931,0
08083,Montezuma County,12,0,37.3380247,-108.5957864,0,26148,0
08091,Ouray County,1,0,38.1547313,-107.7884802,0,4809,0
08113,San Miguel County,1,0,38.0093735,-108.427326,0,8047,0
10100,"Aberdeen, SD",4,0,45.5892542,-98.3521746,0,43235,0
10140,"Aberdeen, WA",15,0,47.1139993,-123.8266547,0,72553,0
10180,"Abilene, TX",6,2,32.2973269,-99.8901793,0.3333333333333333,170516,0.11729104600154824
10300,"Adrian, MI",9,0,41.896019,-84.0743067,0,98482,0
10420,"Akron, OH",30,2,41.13281453666667,-81.45609414333333,0.06666666666666667,704367,0.028394288772756248
10460,"Alamogordo, NM",4,1,32.5887755,-105.7809799,0.25,66198,0.15106196561829663
10500,"Albany, GA",3,1,31.538982833333332,-84.0893466,0.3333333333333333,151293,0.06609691129133535
10540,"Albany, OR",6,0,44.488899700000005,-122.5372014,0,124977,0
10580,"Albany-Schenectady-Troy, NY",139,13,42.685700010791365,-73.95248113165468,0.09352517985611511,882130,0.14737056896375816
10620,"Albemarle, NC",1,0,35.3104492,-80.2543742,0,61451,0
10660,"Albert Lea, MN",4,0,43.6742019,-93.3502887,0,30537,0
10740,"Albuquerque, NM",88,9,35.086027871590915,-106.68278939318182,0.10227272727272728,912897,0.09858724478227007
10780,"Alexandria, LA",4,0,31.1932037,-92.5359531,0,153604,0
10820,"Alexandria, MN",1,0,45.9368293,-95.462156,0,37556,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",60,5,40.698238204999996,-75.42660692666666,0.08333333333333333,838081,0.05966010445291088
10940,"Alma, MI",3,0,43.2923259,-84.60469,0,41011,0
10980,"Alpena, MI",3,0,44.894954,-83.4265739,0,28438,0
11020,"Altoona, PA",6,0,40.4979217,-78.3106362,0,123175,0
11100,"Amarillo, TX",12,3,35.3986751,-101.893804,0.25,264955,0.11322677435790983
11180,"Ames, IA",12,3,42.0375379,-93.4660934,0.25,97260,0.30845157310302285
11220,"Amsterdam, NY",1,0,42.9008912,-74.4353575,0,49216,0
11260,"Anchorage, AK",61,1,61.301033450819666,-149.32256917213115,0.01639344262295082,400647,0.024959627802030215
11420,"Angola, IN",3,1,41.643467,-85.0024051,0.3333333333333333,34421,0.29052032189651666
11460,"Ann Arbor, MI",83,15,42.2523272,-83.8446336,0.18072289156626506,369208,0.40627505362830707
11500,"Anniston-Oxford-Jacksonville, AL",3,0,33.7717061,-85.8225133,0,114664,0
11540,"Appleton, WI",16,2,44.4182258,-88.4649883,0.125,236058,0.0847249404807293
11620,"Ardmore, OK",1,0,34.2518484,-97.2879273,0,48295,0
11680,"Arkansas City-Winfield, KS",2,0,37.2345068,-96.8372468,0,35356,0
11700,"Asheville, NC",74,6,35.5539541472973,-82.55249960945946,0.08108108108108109,455255,0.1317942691458633
11740,"Ashland, OH",2,0,40.843273,-82.2701271,0,53685,0
11780,"Ashtabula, OH",1,0,41.9066369,-80.7455916,0,97692,0
11820,"Astoria, OR",10,0,46.0245092,-123.705014,0,39119,0
11900,"Athens, OH",27,4,39.3326037,-82.0458439,0.14814814814814814,66664,0.6000240009600384
11980,"Athens, TX",1,0,32.2116334,-95.8534183,0,81061,0
12020,"Athens-Clarke County, GA",42,9,33.95015236666667,-83.36017430238095,0.21428571428571427,208997,0.43062819083527515
12060,"Atlanta-Sandy Springs-Roswell, GA",167,34,33.793766115568864,-84.44034074610778,0.20359281437125748,5874249,0.05787973918027649
12100,"Atlantic City-Hammonton, NJ",21,6,39.469354,-74.6337584,0.2857142857142857,266328,0.22528611336397225
12125,Union County,1,0,30.0542796,-82.366918,0,15469,0
12140,"Auburn, IN",1,0,41.4011894,-85.0001854,0,42822,0
12180,"Auburn, NY",7,1,43.0085456,-76.5745866,0.14285714285714285,77463,0.12909388998618695
12220,"Auburn-Opelika, AL",5,2,32.6040644,-85.3530477,0.4,161641,0.12373098409438199
12260,"Augusta-Richmond County, GA-SC",21,2,33.47165583809524,-81.91178213809523,0.09523809523809523,600006,0.0333330000033333
12300,"Augusta-Waterville, ME",54,2,44.4170119,-69.7657639,0.037037037037037035,121929,0.1640298862452739
12380,"Austin, MN",1,0,43.6662486,-92.7595136,0,39699,0
12420,"Austin-Round Rock, TX",216,18,30.240524131018518,-97.70256376296297,0.08333333333333333,2115230,0.08509712891742269
12540,"Bakersfield, CA",51,2,35.3466288,-118.7295064,0.0392156862745098,888988,0.02249749152969444
12580,"Baltimore-Columbia-Towson, MD",155,22,39.23732073806452,-76.59879980645161,0.14193548387096774,2798587,0.07861109910108208
12620,"Bangor, ME",24,1,45.4092789,-68.6665979,0.041666666666666664,151190,0.06614194060453733
12660,"Baraboo, WI",1,0,43.4279976,-89.943329,0,63918,0
12700,"Barnstable Town, MA",28,0,41.7990145,-70.2118803,0,213482,0
12740,"Barre, VT",63,4,44.2749884,-72.6095138,0.06349206349206349,58283,0.6863064701542474
