location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
12020,"Athens-Clarke County, GA",42,9,33.95015236666667,-83.36017430238095,0.21428571428571427,208997,0.43062819083527515,3
11700,"Asheville, NC",74,16,35.5539541472973,-82.55249960945946,0.21621621621621623,455255,0.35145138438896883,2
39580,"Raleigh, NC",93,20,35.78687386021505,-78.64757762150536,0.21505376344086022,1334342,0.14988661077894572,31
44420,"Staunton-Waynesboro, VA",29,9,38.1457278137931,-79.05467293793104,0.3103448275862069,121984,0.7378016789087094,39
39740,"Reading, PA",45,11,40.4139565,-75.9268598,0.24444444444444444,417524,0.2634579090064284,32
35620,"New York-Newark-Jersey City, NY-NJ-PA",1263,260,40.83027444718923,-73.97206918218528,0.2058590657165479,19998951,0.1300068188576491,28
28740,"Kingston, NY",35,7,41.9472124,-74.2654582,0.2,178723,0.3916675525813689,20
25540,"Hartford-West Hartford-East Hartford, CT",115,23,41.76659693043479,-72.68871232347827,0.2,1206719,0.19059946847609094,18
49340,"Worcester, MA-CT",45,12,42.23598533555556,-71.94812506444444,0.26666666666666666,942303,0.1273475729144447,43
31700,"Manchester-Nashua, NH",31,7,42.9115317,-71.7230554,0.22580645161290322,413157,0.16942711850458786,22
17200,"Claremont-Lebanon, NH-VT",31,7,43.737033816129035,-72.22066872258064,0.22580645161290322,217272,0.32217681063367576,10
15540,"Burlington-South Burlington, VT",64,14,44.469511096874996,-73.066909978125,0.21875,218881,0.6396169608143238,8
24020,"Glens Falls, NY",26,7,43.508426703846155,-73.76146368461538,0.2692307692307692,125917,0.5559217579834335,16
40380,"Rochester, NY",64,17,43.35382463125,-77.615040121875,0.265625,1071589,0.15864291253456317,33
19820,"Detroit-Warren-Dearborn, MI",259,55,42.417101405405404,-83.29177782432433,0.21235521235521235,4321704,0.1272646159940616,12
28020,"Kalamazoo-Portage, MI",43,10,42.24710021162791,-85.55083630232559,0.23255813953488372,338347,0.29555456380579703,19
21140,"Elkhart-Goshen, IN",26,8,41.6006928,-85.8639864,0.3076923076923077,204310,0.391561842298468,13
24340,"Grand Rapids-Wyoming, MI",68,24,43.01675796911765,-85.78589489558823,0.35294117647058826,1060326,0.2263454824271026,17
33340,"Milwaukee-Waukesha-West Allis, WI",75,24,43.017716708,-87.547369004,0.32,1575151,0.15236634455998188,25
16580,"Champaign-Urbana, IL",20,8,40.13898,-88.1969959,0.4,239877,0.3335042542636435,9
14020,"Bloomington, IN",34,7,39.1607286,-86.52331,0.20588235294117646,167513,0.41787801543760783,6
19780,"Des Moines-West Des Moines, IA",63,13,41.668044293650794,-93.57644839841271,0.20634920634920634,645100,0.2015191443187103,11
48620,"Wichita, KS",34,10,37.681045,-97.4610535,0.29411764705882354,644949,0.15505101953797898,42
12420,"Austin-Round Rock, TX",216,44,30.240524131018518,-97.70256376296297,0.2037037037037037,2115230,0.20801520402036658,4
32580,"McAllen-Edinburg-Mission, TX",23,17,26.3963839,-98.18099,0.7391304347826086,858323,0.19806063684650185,23
15180,"Brownsville-Harlingen, TX",21,9,26.1029227,-97.4789584,0.42857142857142855,423181,0.21267495468841938,7
21340,"El Paso, TX",76,43,31.7664803,-106.2414237,0.5657894736842105,845145,0.5087884327541428,14
29740,"Las Cruces, NM",42,18,32.3499198,-106.8349691,0.42857142857142855,216186,0.8326163581360495,21
10740,"Albuquerque, NM",88,23,35.086027871590915,-106.68278939318182,0.26136363636363635,912897,0.2519451811102457,1
46060,"Tucson, AZ",65,23,32.1285226,-111.7830267,0.35384615384615387,1027502,0.22384384653265882,41
41740,"San Diego-Carlsbad, CA",278,58,33.0236041,-116.7761174,0.20863309352517986,3325468,0.17441154147326032,35
37100,"Oxnard-Thousand Oaks-Ventura, CA",43,15,34.3587415,-119.1331432,0.3488372093023256,850802,0.17630423999943584,29
42200,"Santa Maria-Santa Barbara, CA",59,19,34.5370572,-120.0399729,0.3220338983050847,445606,0.42638564112691485,38
41500,"Salinas, CA",41,12,36.240107,-121.3155723,0.2926829268292683,435477,0.27555990327847396,34
42100,"Santa Cruz-Watsonville, CA",37,8,37.0124883,-122.007205,0.21621621621621623,275105,0.2907980589229567,37
41940,"San Jose-Sunnyvale-Santa Clara, CA",149,34,37.20849401073826,-121.67843462013423,0.22818791946308725,1993582,0.17054728624154913,36
33700,"Modesto, CA",29,7,37.5623162,-121.0028311,0.2413793103448276,545267,0.1283774737880708,26
44700,"Stockton-Lodi, CA",24,7,37.9349815,-121.272244,0.2916666666666667,742516,0.09427406278113871,40
32900,"Merced, CA",17,7,37.1948063,-120.7228019,0.4117647058823529,271340,0.2579789194368689,24
23420,"Fresno, CA",40,11,36.7610058,-119.6550193,0.275,986542,0.11150057473478067,15
34900,"Napa, CA",27,7,38.5070999,-122.3259045,0.25925925925925924,140386,0.49862521903893553,27
38900,"Portland-Vancouver-Hillsboro, OR-WA",271,61,45.549956054612544,-122.49722467785978,0.22509225092250923,2456462,0.2483246229740171,30
49420,"Yakima, WA",26,10,46.4565581,-120.7401446,0.38461538461538464,250377,0.39939770825595,44
12700,"Barnstable Town, MA",28,15,41.7990145,-70.2118803,0.5357142857142857,213482,0.702635350989779,5
