location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
45220,"Tallahassee, FL",73,3,30.4593104,-84.2778004,0.0410958904109589,383467,0.07823358985258184,18
20500,"Durham-Chapel Hill, NC",110,4,36.04648924181818,-79.01346694909091,0.03636363636363636,566491,0.07061012443269178,8
39580,"Raleigh, NC",93,4,35.78687386021505,-78.64757762150536,0.043010752688172046,1334342,0.029977322155789146,16
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",439,34,38.917109476765376,-77.0925394047836,0.0774487471526196,6200001,0.05483870083246761,19
49020,"Winchester, VA-WV",15,3,39.1877792,-78.21717651333333,0.2,138107,0.21722287791350187,20
18140,"Columbus, OH",94,4,39.98616735744681,-82.98810763404256,0.0425531914893617,2082475,0.019207913660428094,7
14020,"Bloomington, IN",34,3,39.1607286,-86.52331,0.08823529411764706,167513,0.17909057804468909,4
31540,"Madison, WI",101,4,43.0674684,-89.4178523,0.039603960396039604,654577,0.061108166036997945,11
36540,"Omaha-Council Bluffs, NE-IA",68,3,41.286130257352944,-96.05127537941176,0.04411764705882353,932217,0.032181348334132505,13
41620,"Salt Lake City, UT",136,7,40.66641125367647,-111.93306130955882,0.051470588235294115,1205238,0.05807981494111537,17
14260,"Boise City, ID",66,3,43.46967396363637,-116.29360410454545,0.045454545454545456,710080,0.042248760703019375,5
21660,"Eugene, OR",84,3,43.9283286,-122.8976901,0.03571428571428571,375617,0.07986858954733146,9
29820,"Las Vegas-Henderson-Paradise, NV",89,4,36.2142575,-115.013812,0.0449438202247191,2183310,0.018320806481901333,10
38060,"Phoenix-Mesa-Scottsdale, AZ",189,9,33.33295342539682,-112.45968759206349,0.047619047619047616,4761694,0.01890083655102575,14
35300,"New Haven-Milford, CT",108,4,41.3497173,-72.9002037,0.037037037037037035,857794,0.046631242466139894,12
12740,"Barre, VT",63,3,44.2749884,-72.6095138,0.047619047619047616,58283,0.5147298526156855,3
15540,"Burlington-South Burlington, VT",64,5,44.469511096874996,-73.066909978125,0.078125,218881,0.2284346288622585,6
38860,"Portland-South Portland, ME",128,7,43.74900630703125,-70.37064750546875,0.0546875,532280,0.1315097317201473,15
12620,"Bangor, ME",24,3,45.4092789,-68.6665979,0.125,151190,0.198425821813612,2
11260,"Anchorage, AK",61,5,61.301033450819666,-149.32256917213115,0.08196721311475409,400647,0.12479813901015109,1
