location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k
10900,"Allentown-Bethlehem-Easton, PA-NJ",65,22,40.650984615384615,-75.38478461538462,0.3384615384615385,838081,0.2625044595928079
14500,"Boulder, CO",75,23,40.03181333333333,-105.23398666666667,0.30666666666666664,324073,0.7097166379179999
14860,"Bridgeport-Stamford-Norwalk, CT",127,31,41.162488188976376,-73.40778740157481,0.2440944881889764,943457,0.32857883295158125
15980,"Cape Coral-Fort Myers, FL",36,16,26.59627777777778,-81.89525,0.4444444444444444,739506,0.2163606515701022
16700,"Charleston-North Charleston, SC",66,20,32.83789393939394,-79.95877272727273,0.30303030303030304,775089,0.25803488373593225
19380,"Dayton, OH",75,17,39.767466666666664,-84.1462,0.22666666666666666,803713,0.21151829073313483
30460,"Lexington-Fayette, KY",60,17,38.03823333333333,-84.50633333333333,0.2833333333333333,512732,0.3315572267773418
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",334,99,26.16508982035928,-80.1827125748503,0.2964071856287425,6149687,0.16098380291549796
35840,"North Port-Sarasota-Bradenton, FL",72,16,27.375708333333332,-82.5337638888889,0.2222222222222222,805139,0.19872345023654303
36540,"Omaha-Council Bluffs, NE-IA",71,26,41.24216901408451,-95.97761971830987,0.36619718309859156,932217,0.27890501889581504
39900,"Reno, NV",52,18,39.520096153846154,-119.80667307692308,0.34615384615384615,461336,0.3901711550800284
40060,"Richmond, VA",123,30,37.541739837398374,-77.44654471544716,0.24390243902439024,1292911,0.23203453292608694
41420,"Salem, OR",75,18,44.943333333333335,-123.02666666666667,0.24,424968,0.4235613034393178
42220,"Santa Rosa, CA",66,23,38.36775757575757,-122.68827272727273,0.3484848484848485,503246,0.45703294213962953
