location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k
02122,Kenai Peninsula Borough,18,1,60.056555555555555,-151.24833333333333,0.05555555555555555,58522,0.1708759099142203
08083,Montezuma County,12,1,37.36475,-108.57791666666667,0.08333333333333333,26148,0.3824384274131865
10180,"Abilene, TX",6,1,32.44983333333333,-99.73283333333333,0.16666666666666666,170516,0.05864552300077412
10580,"Albany-Schenectady-Troy, NY",145,5,42.72449655172414,-73.80160689655172,0.034482758620689655,882130,0.05668098806298391
10620,"Albemarle, NC",2,1,35.3885,-80.206,0.5,61451,0.16273128183430702
10660,"Albert Lea, MN",4,1,43.648,-93.369,0.25,30537,0.32747159183940794
10740,"Albuquerque, NM",95,1,35.09246315789474,-106.62495789473684,0.010526315789473684,912897,0.01095413830914112
10900,"Allentown-Bethlehem-Easton, PA-NJ",65,2,40.650984615384615,-75.38478461538462,0.03076923076923077,838081,0.02386404178116435
11260,"Anchorage, AK",64,2,61.2748125,-149.810375,0.03125,400647,0.04991925560406043
11500,"Anniston-Oxford-Jacksonville, AL",3,1,33.66,-85.83099999999999,0.3333333333333333,114664,0.08721133049605805
11680,"Arkansas City-Winfield, KS",2,1,37.24,-96.996,0.5,35356,0.28283742504808235
11700,"Asheville, NC",76,5,35.53222368421053,-82.56243421052632,0.06578947368421052,455255,0.10982855762155275
11820,"Astoria, OR",12,1,46.13975,-123.85391666666666,0.08333333333333333,39119,0.25563025639714715
12020,"Athens-Clarke County, GA",43,2,33.94927906976744,-83.36274418604651,0.046511627906976744,208997,0.09569515351895003
12060,"Atlanta-Sandy Springs-Roswell, GA",174,4,33.794454022988504,-84.40397701149425,0.022988505747126436,5874249,0.006809381080032528
12180,"Auburn, NY",8,1,42.885875,-76.6,0.125,77463,0.12909388998618695
12260,"Augusta-Richmond County, GA-SC",21,2,33.522,-81.92738095238096,0.09523809523809523,600006,0.0333330000033333
12300,"Augusta-Waterville, ME",58,5,44.37767241379311,-69.74129310344827,0.08620689655172414,121929,0.4100747156131847
12420,"Austin-Round Rock, TX",230,7,30.261165217391305,-97.74724347826087,0.030434782608695653,2115230,0.03309332791233104
12580,"Baltimore-Columbia-Towson, MD",159,6,39.22767924528302,-76.58943396226415,0.03773584905660377,2798587,0.02143939066393148
12620,"Bangor, ME",26,2,44.81384615384616,-68.76296153846154,0.07692307692307693,151190,0.13228388120907467
12700,"Barnstable Town, MA",28,1,41.738142857142854,-70.27407142857143,0.03571428571428571,213482,0.046842356732651934
12740,"Barre, VT",68,4,44.25670588235294,-72.57854411764706,0.058823529411764705,58283,0.6863064701542474
13220,"Beckley, WV",13,3,37.82653846153846,-81.18,0.23076923076923078,118639,0.2528679439307479
13740,"Billings, MT",25,1,45.75528,-108.55080000000001,0.04,170740,0.058568583811643433
13820,"Birmingham-Hoover, AL",29,2,33.48744827586207,-86.80348275862069,0.06896551724137931,1149685,0.01739606935812853
13900,"Bismarck, ND",13,3,46.80838461538462,-100.78369230769232,0.23076923076923078,132418,0.22655530214925465
14010,"Bloomington, IL",19,2,40.50321052631579,-88.98357894736843,0.10526315789473684,188754,0.10595801943270076
