location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
23540,"Gainesville, FL",54,11,29.651574074074073,-82.33327777777778,0.2037037037037037,284685,0.3863919770974937,12
27260,"Jacksonville, FL",117,30,30.25409401709402,-81.59108547008547,0.2564102564102564,1504841,0.19935660976807515,14
16700,"Charleston-North Charleston, SC",66,9,32.83789393939394,-79.95877272727273,0.13636363636363635,775089,0.11611569768116951,6
12020,"Athens-Clarke County, GA",43,9,33.94927906976744,-83.36274418604651,0.20930232558139536,208997,0.43062819083527515,2
28940,"Knoxville, TN",53,11,35.94979245283019,-83.93020754716981,0.20754716981132076,875797,0.12559988216447418,15
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",134,21,36.098425373134326,-86.77161940298507,0.15671641791044777,1900584,0.1104923539291081,18
13820,"Birmingham-Hoover, AL",29,11,33.48744827586207,-86.80348275862069,0.3793103448275862,1149685,0.09567838146970692,3
37860,"Pensacola-Ferry Pass-Brent, FL",27,9,30.428962962962963,-87.20729629629629,0.3333333333333333,487327,0.18468092266588965,21
35380,"New Orleans-Metairie, LA",78,17,29.986397435897437,-90.09453846153846,0.21794871794871795,1270465,0.13380927455695354,20
32820,"Memphis, TN-MS-AR",84,26,35.12564285714286,-90.04929761904762,0.30952380952380953,1347576,0.19293902533140989,16
41180,"St. Louis, MO-IL",194,54,38.64118556701031,-90.22667525773196,0.27835051546391754,2805850,0.19245504927205662,27
14020,"Bloomington, IN",39,10,39.16825641025641,-86.52864102564102,0.2564102564102564,167513,0.5969685934822969,4
19380,"Dayton, OH",75,11,39.767466666666664,-84.1462,0.14666666666666667,803713,0.1368647763567343,8
45780,"Toledo, OH",38,8,41.57676315789474,-83.59418421052632,0.21052631578947367,603830,0.13248762068794198,31
11460,"Ann Arbor, MI",90,15,42.271588888888886,-83.7244,0.16666666666666666,369208,0.40627505362830707,1
43780,"South Bend-Mishawaka, IN-MI",38,8,41.67784210526316,-86.23321052631579,0.21052631578947367,321447,0.24887462007733777,30
38300,"Pittsburgh, PA",181,30,40.41624309392265,-79.93314364640884,0.16574585635359115,2330283,0.12873972817893792,23
16820,"Charlottesville, VA",68,36,38.02251470588236,-78.48704411764706,0.5294117647058824,233586,1.541188256145488,7
40060,"Richmond, VA",123,28,37.541739837398374,-77.44654471544716,0.22764227642276422,1292911,0.21656556406434782,25
20500,"Durham-Chapel Hill, NC",126,64,35.94275396825397,-79.00976984126984,0.5079365079365079,566491,1.1297619909230685,9
49180,"Winston-Salem, NC",43,9,36.09604651162791,-80.29181395348837,0.20930232558139536,666746,0.13498393691150753,32
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",408,65,39.95353921568628,-75.28212009803921,0.15931372549019607,6078451,0.10693513857395576,22
35300,"New Haven-Milford, CT",113,16,41.342230088495576,-72.90945132743363,0.1415929203539823,857794,0.18652496986455958,19
25540,"Hartford-West Hartford-East Hartford, CT",119,16,41.73755462184874,-72.65706722689076,0.13445378151260504,1206719,0.13259093459206328,13
15540,"Burlington-South Burlington, VT",73,13,44.48183561643835,-73.196,0.1780821917808219,218881,0.593930035041872,5
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",285,51,44.96612280701754,-93.20209122807017,0.17894736842105263,3592669,0.14195574376598566,17
22660,"Fort Collins, CO",39,7,40.54633333333334,-105.09417948717949,0.1794871794871795,343993,0.20349251292904214,11
40900,"Sacramento--Roseville--Arden-Arcade, CA",170,43,38.60834705882353,-121.44635294117647,0.2529411764705882,2320381,0.18531439448952564,26
41860,"San Francisco-Oakland-Hayward, CA",495,66,37.79507070707071,-122.32105858585858,0.13333333333333333,4710693,0.14010677409884278,29
41500,"Salinas, CA",47,7,36.629829787234044,-121.73806382978724,0.14893617021276595,435477,0.16074327691244314,28
21660,"Eugene, OR",89,13,44.03806741573034,-123.15021348314608,0.14606741573033707,375617,0.3460972213717697,10
38900,"Portland-Vancouver-Hillsboro, OR-WA",282,53,45.5188475177305,-122.70125886524823,0.1879432624113475,2456462,0.21575745930529355,24
