place_1_id,place_2_id,count,place_1_name,place_1_long,place_1_lat,place_2_name,place_2_long,place_2_lat
11260,11460,5,"Anchorage, AK",-149.810375,61.2748125,"Ann Arbor, MI",-83.7244,42.271588888888886
11460,21660,7,"Ann Arbor, MI",-83.7244,42.271588888888886,"Eugene, OR",-123.15021348314608,44.03806741573034
12740,11460,5,"Barre, VT",-72.57854411764706,44.25670588235294,"Ann Arbor, MI",-83.7244,42.271588888888886
21660,11460,7,"Eugene, OR",-123.15021348314608,44.03806741573034,"Ann Arbor, MI",-83.7244,42.271588888888886
29620,42200,5,"Lansing-East Lansing, MI",-84.53876623376624,42.729610389610386,"Santa Maria-Santa Barbara, CA",-119.97866153846154,34.575723076923076
30700,12740,5,"Lincoln, NE",-96.68761016949152,40.82208474576271,"Barre, VT",-72.57854411764706,44.25670588235294
36500,42200,4,"Olympia-Tumwater, WA",-122.89492063492064,47.03798412698413,"Santa Maria-Santa Barbara, CA",-119.97866153846154,34.575723076923076
42200,29620,5,"Santa Maria-Santa Barbara, CA",-119.97866153846154,34.575723076923076,"Lansing-East Lansing, MI",-84.53876623376624,42.729610389610386
44100,36500,4,"Springfield, IL",-89.64756097560976,39.78621951219512,"Olympia-Tumwater, WA",-122.89492063492064,47.03798412698413
44180,30700,4,"Springfield, MO",-93.29422448979592,37.21048979591837,"Lincoln, NE",-96.68761016949152,40.82208474576271
