GEOID,NAME,state,protest_count,totalvotes,democrat,republican,no_party,CBSAFP,perc_democrat,state_fips,county_fips,CTYNAME,pop,location_type,location_id
NA,"Aberdeen, SD",NA,4,18032,5832,11046,NA,10100,0.3234250221827862,NA,NA,NA,43235,CBSA,10100
NA,"Aberdeen, WA",NA,15,28367,12020,14067,NA,10140,0.42373180103641556,NA,NA,NA,72553,CBSA,10140
NA,"Abilene, TX",NA,6,57298,11590,42934,NA,10180,0.20227582114558973,NA,NA,NA,170516,CBSA,10180
NA,"Ada, OK",NA,1,14831,3637,10431,NA,10220,0.24522958667655587,NA,NA,NA,38354,CBSA,10220
NA,"Adrian, MI",NA,10,45939,16750,26430,NA,10300,0.3646139445786804,NA,NA,NA,98482,CBSA,10300
NA,"Akron, OH",NA,32,334118,166653,151997,NA,10420,0.4987848604385277,NA,NA,NA,704367,CBSA,10420
NA,"Alamogordo, NM",NA,4,20060,6124,11887,NA,10460,0.305284147557328,NA,NA,NA,66198,CBSA,10460
NA,"Albany, GA",NA,3,62154,31418,29679,NA,10500,0.5054863725584837,NA,NA,NA,151293,CBSA,10500
NA,"Albany, OR",NA,4,58719,17995,33488,NA,10540,0.3064595786712989,NA,NA,NA,124977,CBSA,10540
NA,"Albany-Schenectady-Troy, NY",NA,145,406816,204694,173895,NA,10580,0.503161134272005,NA,NA,NA,882130,CBSA,10580
NA,"Albemarle, NC",NA,2,29917,7094,21964,NA,10620,0.23712270615369188,NA,NA,NA,61451,CBSA,10620
NA,"Albert Lea, MN",NA,4,16051,6041,8808,NA,10660,0.376362843436546,NA,NA,NA,30537,CBSA,10660
NA,"Albuquerque, NM",NA,95,370268,183750,137532,NA,10740,0.4962621668629209,NA,NA,NA,912897,CBSA,10740
NA,"Alexandria, LA",NA,4,65665,19503,44224,NA,10780,0.29700753826239246,NA,NA,NA,153604,CBSA,10780
NA,"Alexandria, MN",NA,1,21785,6227,13966,NA,10820,0.2858388799632775,NA,NA,NA,37556,CBSA,10820
NA,"Allentown-Bethlehem-Easton, PA-NJ",NA,65,382524,173813,194027,NA,10900,0.45438456149156653,NA,NA,NA,838081,CBSA,10900
NA,"Alma, MI",NA,3,16465,5666,9880,NA,10940,0.34412389918007896,NA,NA,NA,41011,CBSA,10940
NA,"Alpena, MI",NA,3,14698,4877,9090,NA,10980,0.3318138522247925,NA,NA,NA,28438,CBSA,10980
NA,"Altoona, PA",NA,6,54909,13958,39135,NA,11020,0.25420240761988017,NA,NA,NA,123175,CBSA,11020
NA,"Amarillo, TX",NA,12,87889,16421,67486,NA,11100,0.18683794331486306,NA,NA,NA,264955,CBSA,11100
NA,"Ames, IA",NA,13,50667,25709,19458,NA,11180,0.5074111354530563,NA,NA,NA,97260,CBSA,11180
NA,"Amsterdam, NY",NA,1,19054,6595,11301,NA,11220,0.34612154928099087,NA,NA,NA,49216,CBSA,11220
NA,"Anchorage, AK",NA,64,NA,NA,NA,NA,11260,NA,NA,NA,NA,400647,CBSA,11260
NA,"Angola, IN",NA,3,14566,3744,10133,NA,11420,0.257036935328848,NA,NA,NA,34421,CBSA,11420
NA,"Ann Arbor, MI",NA,90,188578,128483,50631,NA,11460,0.6813254992629044,NA,NA,NA,369208,CBSA,11460
NA,"Anniston-Oxford-Jacksonville, AL",NA,3,47864,13242,32865,NA,11500,0.2766588667892362,NA,NA,NA,114664,CBSA,11500
NA,"Appleton, WI",NA,17,120518,47733,65232,NA,11540,0.3960653180437777,NA,NA,NA,236058,CBSA,11540
NA,"Ardmore, OK",NA,1,18534,4002,13752,NA,11620,0.2159274846228553,NA,NA,NA,48295,CBSA,11620
