GEOID,NAME,state,protest_count,totalvotes,democrat,republican,no_party,CBSAFP,perc_democrat,state_fips,county_fips,CTYNAME,pop,location_type,location_id,include_capital,geometry
NA,"Aberdeen, SD",NA,4,18032,5832,11046,NA,10100,0.3234250221827862,NA,NA,NA,43235,CBSA,10100,FALSE,"c(NA, NA)"
NA,"Aberdeen, WA",NA,15,28367,12020,14067,NA,10140,0.42373180103641556,NA,NA,NA,72553,CBSA,10140,FALSE,"c(NA, NA)"
NA,"Abilene, TX",NA,6,57298,11590,42934,NA,10180,0.20227582114558973,NA,NA,NA,170516,CBSA,10180,FALSE,"c(NA, NA)"
NA,"Ada, OK",NA,1,14831,3637,10431,NA,10220,0.24522958667655587,NA,NA,NA,38354,CBSA,10220,FALSE,"c(NA, NA)"
NA,"Adrian, MI",NA,10,45939,16750,26430,NA,10300,0.3646139445786804,NA,NA,NA,98482,CBSA,10300,FALSE,"c(NA, NA)"
NA,"Akron, OH",NA,32,334118,166653,151997,NA,10420,0.4987848604385277,NA,NA,NA,704367,CBSA,10420,FALSE,"c(NA, NA)"
NA,"Alamogordo, NM",NA,4,20060,6124,11887,NA,10460,0.305284147557328,NA,NA,NA,66198,CBSA,10460,FALSE,"c(NA, NA)"
NA,"Albany, GA",NA,3,62154,31418,29679,NA,10500,0.5054863725584837,NA,NA,NA,151293,CBSA,10500,FALSE,"c(NA, NA)"
NA,"Albany, OR",NA,4,58719,17995,33488,NA,10540,0.3064595786712989,NA,NA,NA,124977,CBSA,10540,FALSE,"c(NA, NA)"
NA,"Albany-Schenectady-Troy, NY",NA,145,406816,204694,173895,NA,10580,0.503161134272005,NA,NA,NA,882130,CBSA,10580,TRUE,"c(-73.781339, 42.659829)"
NA,"Albemarle, NC",NA,2,29917,7094,21964,NA,10620,0.23712270615369188,NA,NA,NA,61451,CBSA,10620,FALSE,"c(NA, NA)"
NA,"Albert Lea, MN",NA,4,16051,6041,8808,NA,10660,0.376362843436546,NA,NA,NA,30537,CBSA,10660,FALSE,"c(NA, NA)"
NA,"Albuquerque, NM",NA,95,370268,183750,137532,NA,10740,0.4962621668629209,NA,NA,NA,912897,CBSA,10740,FALSE,"c(NA, NA)"
NA,"Alexandria, LA",NA,4,65665,19503,44224,NA,10780,0.29700753826239246,NA,NA,NA,153604,CBSA,10780,FALSE,"c(NA, NA)"
NA,"Alexandria, MN",NA,1,21785,6227,13966,NA,10820,0.2858388799632775,NA,NA,NA,37556,CBSA,10820,FALSE,"c(NA, NA)"
NA,"Allentown-Bethlehem-Easton, PA-NJ",NA,65,382524,173813,194027,NA,10900,0.45438456149156653,NA,NA,NA,838081,CBSA,10900,FALSE,"c(NA, NA)"
NA,"Alma, MI",NA,3,16465,5666,9880,NA,10940,0.34412389918007896,NA,NA,NA,41011,CBSA,10940,FALSE,"c(NA, NA)"
NA,"Alpena, MI",NA,3,14698,4877,9090,NA,10980,0.3318138522247925,NA,NA,NA,28438,CBSA,10980,FALSE,"c(NA, NA)"
NA,"Altoona, PA",NA,6,54909,13958,39135,NA,11020,0.25420240761988017,NA,NA,NA,123175,CBSA,11020,FALSE,"c(NA, NA)"
NA,"Amarillo, TX",NA,12,87889,16421,67486,NA,11100,0.18683794331486306,NA,NA,NA,264955,CBSA,11100,FALSE,"c(NA, NA)"
NA,"Ames, IA",NA,13,50667,25709,19458,NA,11180,0.5074111354530563,NA,NA,NA,97260,CBSA,11180,FALSE,"c(NA, NA)"
