GEOID,NAME,state,protest_count,totalvotes,democrat,republican,no_party,CBSAFP,perc_democrat,state_fips,county_fips,CTYNAME,pop,location_type,location_id
31039,Cuming,NE,0,4074,719,3122,NA,NA,0.17648502700049093,31,039,Cuming County,8964,county,31039
53069,Wahkiakum,WA,0,2358,832,1344,NA,NA,0.35284139100932993,53,069,Wahkiakum County,4280,county,53069
35011,De Baca,NM,0,910,193,620,NA,NA,0.21208791208791208,35,011,De Baca County,1813,county,35011
31129,Nuckolls,NE,0,2205,353,1726,NA,NA,0.1600907029478458,31,129,Nuckolls County,4260,county,31129
48327,Menard,TX,0,864,154,682,NA,NA,0.17824074074074073,48,327,Menard County,2121,county,48327
06091,Sierra,CA,0,1830,601,1048,NA,NA,0.3284153005464481,06,091,Sierra County,3009,county,06091
21053,Clinton,KY,0,4462,547,3809,NA,NA,0.12259076647243389,21,053,Clinton County,10239,county,21053
01027,Clay,AL,0,6624,1237,5245,NA,NA,0.1867451690821256,01,027,Clay County,13367,county,01027
05137,Stone,AR,0,5618,1203,4113,NA,NA,0.21413314346742612,05,137,Stone County,12517,county,05137
41063,Wallowa,OR,0,4366,1116,2848,NA,NA,0.25561154374713696,41,063,Wallowa County,7035,county,41063
29083,Henry,MO,0,9866,2357,7075,NA,NA,0.23890127711331846,29,083,Henry County,21700,county,29083
08109,Saguache,CO,0,2835,1417,1147,NA,NA,0.4998236331569665,08,109,Saguache County,6643,county,08109
49033,Rich,UT,0,1109,104,797,NA,NA,0.09377817853922453,49,033,Rich County,2402,county,49033
40001,Adair,OK,0,6513,1382,4787,NA,NA,0.2121910026101643,40,001,Adair County,21981,county,40001
35003,Catron,NM,0,2049,427,1464,NA,NA,0.20839433870180576,35,003,Catron County,3567,county,35003
01091,Marengo,AL,0,10994,5615,5233,NA,NA,0.5107331271602692,01,091,Marengo County,19366,county,01091
56023,Lincoln,WY,0,8875,1105,6779,NA,NA,0.12450704225352113,56,023,Lincoln County,19259,county,56023
29011,Barton,MO,0,5939,795,4959,NA,NA,0.13386091934669136,29,011,Barton County,11809,county,29011
54075,Pocahontas,WV,0,3646,928,2496,NA,NA,0.2545255074053758,54,075,Pocahontas County,8487,county,54075
31101,Keith,NE,0,4034,571,3235,NA,NA,0.14154685176003967,31,101,Keith County,8078,county,31101
31137,Phelps,NE,0,4695,572,3849,NA,NA,0.12183173588924387,31,137,Phelps County,9042,county,31137
42053,Forest,PA,0,2401,626,1683,NA,NA,0.2607246980424823,42,053,Forest County,7311,county,42053
20073,Greenwood,KS,0,2840,485,2160,NA,NA,0.17077464788732394,20,073,Greenwood County,6094,county,20073
48177,Gonzales,TX,0,6334,1571,4587,NA,NA,0.2480265235238396,48,177,Gonzales County,20796,county,48177
21231,Wayne,KY,0,7992,1431,6371,NA,NA,0.17905405405405406,21,231,Wayne County,20621,county,21231
47185,White,TN,0,9825,1845,7671,NA,NA,0.18778625954198475,47,185,White County,26744,county,47185
28017,Chickasaw,MS,0,7890,3649,4127,NA,NA,0.46248415716096325,28,017,Chickasaw County,17189,county,28017
