CBSAFP,protest_count,democrat,republican,totalvotes,perc_democrat,pop,location_type,location_id,NAME,GEOID,state,no_party,state_fips,county_fips,CTYNAME,protest_per_10k,include_capital,geometry
10100,4,5832,11046,18032,0.323425022,43235,CBSA,10100,"Aberdeen, SD",NA,NA,NA,NA,NA,NA,0.925176362,FALSE,"c(NA, NA)"
10140,15,12020,14067,28367,0.423731801,72553,CBSA,10140,"Aberdeen, WA",NA,NA,NA,NA,NA,NA,2.067454137,FALSE,"c(NA, NA)"
10180,6,11590,42934,57298,0.202275821,170516,CBSA,10180,"Abilene, TX",NA,NA,NA,NA,NA,NA,0.351873138,FALSE,"c(NA, NA)"
10300,9,16750,26430,45939,0.364613945,98482,CBSA,10300,"Adrian, MI",NA,NA,NA,NA,NA,NA,0.913872586,FALSE,"c(NA, NA)"
10420,30,166653,151997,334118,0.49878486,704367,CBSA,10420,"Akron, OH",NA,NA,NA,NA,NA,NA,0.425914332,FALSE,"c(NA, NA)"
10460,4,6124,11887,20060,0.305284148,66198,CBSA,10460,"Alamogordo, NM",NA,NA,NA,NA,NA,NA,0.604247862,FALSE,"c(NA, NA)"
10500,3,31418,29679,62154,0.505486373,151293,CBSA,10500,"Albany, GA",NA,NA,NA,NA,NA,NA,0.198290734,FALSE,"c(NA, NA)"
10540,4,17995,33488,58719,0.306459579,124977,CBSA,10540,"Albany, OR",NA,NA,NA,NA,NA,NA,0.320058891,FALSE,"c(NA, NA)"
10580,139,204694,173895,406816,0.503161134,882130,CBSA,10580,"Albany-Schenectady-Troy, NY",NA,NA,NA,NA,NA,NA,1.575731468,TRUE,"c(-73.781339, 42.659829)"
10620,1,7094,21964,29917,0.237122706,61451,CBSA,10620,"Albemarle, NC",NA,NA,NA,NA,NA,NA,0.162731282,FALSE,"c(NA, NA)"
10660,4,6041,8808,16051,0.376362843,30537,CBSA,10660,"Albert Lea, MN",NA,NA,NA,NA,NA,NA,1.309886367,FALSE,"c(NA, NA)"
10740,88,183750,137532,370268,0.496262167,912897,CBSA,10740,"Albuquerque, NM",NA,NA,NA,NA,NA,NA,0.963964171,FALSE,"c(NA, NA)"
10780,4,19503,44224,65665,0.297007538,153604,CBSA,10780,"Alexandria, LA",NA,NA,NA,NA,NA,NA,0.260409885,FALSE,"c(NA, NA)"
10820,1,6227,13966,21785,0.28583888,37556,CBSA,10820,"Alexandria, MN",NA,NA,NA,NA,NA,NA,0.266269038,FALSE,"c(NA, NA)"
10900,60,173813,194027,382524,0.454384561,838081,CBSA,10900,"Allentown-Bethlehem-Easton, PA-NJ",NA,NA,NA,NA,NA,NA,0.715921253,FALSE,"c(NA, NA)"
10940,3,5666,9880,16465,0.344123899,41011,CBSA,10940,"Alma, MI",NA,NA,NA,NA,NA,NA,0.731511058,FALSE,"c(NA, NA)"
10980,3,4877,9090,14698,0.331813852,28438,CBSA,10980,"Alpena, MI",NA,NA,NA,NA,NA,NA,1.054926507,FALSE,"c(NA, NA)"
11020,6,13958,39135,54909,0.254202408,123175,CBSA,11020,"Altoona, PA",NA,NA,NA,NA,NA,NA,0.487111833,FALSE,"c(NA, NA)"
11100,12,16421,67486,87889,0.186837943,264955,CBSA,11100,"Amarillo, TX",NA,NA,NA,NA,NA,NA,0.452907097,FALSE,"c(NA, NA)"
11180,12,25709,19458,50667,0.507411135,97260,CBSA,11180,"Ames, IA",NA,NA,NA,NA,NA,NA,1.233806292,FALSE,"c(NA, NA)"
11220,1,6595,11301,19054,0.346121549,49216,CBSA,11220,"Amsterdam, NY",NA,NA,NA,NA,NA,NA,0.203185956,FALSE,"c(NA, NA)"
11260,61,NA,NA,NA,NA,400647,CBSA,11260,"Anchorage, AK",NA,NA,NA,NA,NA,NA,1.522537296,FALSE,"c(NA, NA)"
11420,3,3744,10133,14566,0.257036935,34421,CBSA,11420,"Angola, IN",NA,NA,NA,NA,NA,NA,0.871560966,FALSE,"c(NA, NA)"
11460,83,128483,50631,188578,0.681325499,369208,CBSA,11460,"Ann Arbor, MI",NA,NA,NA,NA,NA,NA,2.248055297,FALSE,"c(NA, NA)"
11500,3,13242,32865,47864,0.276658867,114664,CBSA,11500,"Anniston-Oxford-Jacksonville, AL",NA,NA,NA,NA,NA,NA,0.261633991,FALSE,"c(NA, NA)"
