topic,count,perc_of_state_protest,state,percentile,high_low
guns,48,0.1959,MD,0.7843137254901961,middle
guns,36,0.1034,TN,0.11764705882352941,middle
guns,60,0.1538,IN,0.49019607843137253,middle
guns,125,0.2193,OH,0.8823529411764706,middle
guns,60,0.1515,CT,0.47058823529411764,middle
guns,27,0.0718,DC,0.0392156862745098,low
guns,127,0.1719,WA,0.6078431372549019,middle
guns,250,0.2363,FL,0.9607843137254902,high
guns,29,0.1306,UT,0.27450980392156865,middle
guns,349,0.1397,CA,0.37254901960784315,middle
guns,32,0.1561,VT,0.5098039215686274,middle
guns,60,0.125,MN,0.21568627450980393,middle
guns,91,0.1838,VA,0.6666666666666666,middle
guns,75,0.1933,WI,0.7647058823529411,middle
guns,51,0.1311,MO,0.29411764705882354,middle
guns,90,0.1789,CO,0.6470588235294118,middle
guns,87,0.2605,GA,1,high
guns,136,0.1411,PA,0.4117647058823529,middle
guns,191,0.1271,NY,0.2549019607843137,middle
guns,128,0.2126,IL,0.8431372549019608,middle
guns,82,0.1117,MA,0.1568627450980392,middle
guns,99,0.1636,OR,0.5294117647058824,middle
guns,115,0.1271,TX,0.2549019607843137,middle
guns,43,0.1473,IA,0.45098039215686275,middle
guns,97,0.1639,NC,0.5490196078431373,middle
guns,40,0.1187,AZ,0.19607843137254902,middle
guns,141,0.1841,MI,0.6862745098039216,middle
guns,36,0.2338,NE,0.9215686274509803,high
guns,40,0.1674,NM,0.5686274509803921,middle
guns,19,0.1166,LA,0.17647058823529413,middle
guns,26,0.1313,MT,0.3333333333333333,middle
guns,39,0.1313,ME,0.3333333333333333,middle
guns,33,0.1854,NV,0.7254901960784313,middle
guns,30,0.1705,OK,0.5882352941176471,middle
guns,21,0.1409,AL,0.39215686274509803,middle
guns,49,0.1384,KY,0.35294117647058826,middle
guns,16,0.2,AR,0.803921568627451,middle
guns,98,0.1759,NJ,0.6274509803921569,middle
guns,10,0.099,RI,0.09803921568627451,low
guns,7,0.0579,HI,0.0196078431372549,low
guns,26,0.2063,ID,0.8235294117647058,middle
guns,34,0.2138,NH,0.8627450980392157,middle
guns,38,0.2517,KS,0.9803921568627451,high
guns,11,0.1897,SD,0.7450980392156863,middle
guns,21,0.1077,AK,0.13725490196078433,middle
guns,7,0.0805,MS,0.0784313725490196,low
guns,15,0.0781,WV,0.058823529411764705,low
guns,56,0.2353,SC,0.9411764705882353,high
guns,12,0.1846,ND,0.7058823529411765,middle
guns,11,0.1429,WY,0.43137254901960786,middle
guns,18,0.2278,DE,0.9019607843137255,high
immigration,40,0.1633,MD,0.6666666666666666,middle
immigration,51,0.1466,TN,0.5490196078431373,middle
immigration,56,0.1436,IN,0.5098039215686274,middle
immigration,64,0.1123,OH,0.21568627450980393,middle
immigration,70,0.1768,CT,0.7450980392156863,middle
immigration,59,0.1569,DC,0.6274509803921569,middle
immigration,113,0.1529,WA,0.5882352941176471,middle
immigration,134,0.1267,FL,0.37254901960784315,middle
immigration,29,0.1306,UT,0.43137254901960786,middle
immigration,467,0.1869,CA,0.9215686274509803,high
immigration,36,0.1756,VT,0.7254901960784313,middle
immigration,55,0.1146,MN,0.23529411764705882,middle
immigration,59,0.1192,VA,0.27450980392156865,middle
immigration,72,0.1856,WI,0.8823529411764706,middle
immigration,30,0.0771,MO,0.0784313725490196,low
immigration,71,0.1412,CO,0.49019607843137253,middle
immigration,37,0.1108,GA,0.19607843137254902,middle
immigration,129,0.1338,PA,0.47058823529411764,middle
immigration,271,0.1803,NY,0.8235294117647058,middle
immigration,61,0.1013,IL,0.13725490196078433,middle
immigration,130,0.1771,MA,0.7647058823529411,middle
immigration,110,0.1818,OR,0.8627450980392157,middle
immigration,242,0.2674,TX,1,high
immigration,53,0.1815,IA,0.8431372549019608,middle
immigration,91,0.1537,NC,0.6078431372549019,middle
immigration,74,0.2196,AZ,0.9607843137254902,high
immigration,136,0.1775,MI,0.7843137254901961,middle
immigration,27,0.1753,NE,0.7058823529411765,middle
immigration,57,0.2385,NM,0.9803921568627451,high
immigration,21,0.1288,LA,0.4117647058823529,middle
immigration,21,0.1061,MT,0.1568627450980392,middle
immigration,45,0.1515,ME,0.5686274509803921,middle
immigration,21,0.118,NV,0.2549019607843137,middle
immigration,23,0.1307,OK,0.45098039215686275,middle
immigration,19,0.1275,AL,0.39215686274509803,middle
immigration,31,0.0876,KY,0.09803921568627451,low
immigration,10,0.125,AR,0.3137254901960784,middle
immigration,104,0.1867,NJ,0.9019607843137255,high
immigration,18,0.1782,RI,0.803921568627451,middle
immigration,7,0.0579,HI,0.058823529411764705,low
immigration,20,0.1587,ID,0.6470588235294118,middle
immigration,19,0.1195,NH,0.29411764705882354,middle
immigration,22,0.1457,KS,0.5294117647058824,middle
immigration,10,0.1724,SD,0.6862745098039216,middle
immigration,8,0.041,AK,0.0392156862745098,low
immigration,8,0.092,MS,0.11764705882352941,middle
immigration,7,0.0365,WV,0.0196078431372549,low
immigration,30,0.1261,SC,0.3333333333333333,middle
immigration,7,0.1077,ND,0.17647058823529413,middle
immigration,15,0.1948,WY,0.9411764705882353,high
immigration,10,0.1266,DE,0.35294117647058826,middle
other,30,0.1224,MD,0.47058823529411764,middle
