location_id,location_name,,,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k,id
33100,"Miami-Fort Lauderdale-West Palm Beach, FL","Parkland, FL",,329,99,26.1265311,-80.47569858,0.300911854,6149687,0.160983803,24
14860,"Bridgeport-Stamford-Norwalk, CT",Contains Sandy Hook,,123,31,41.2274128,-73.3670614,0.25203252,943457,0.328578833,6
40060,"Richmond, VA",Looks like just had a lot of March For Our Lives/walkouts?,,117,30,37.53645799,-77.50296492,0.256410256,1292911,0.232034533,30
17460,"Cleveland-Elyria, OH",Looks like just had a lot of March For Our Lives/walkouts?,,99,26,41.69329145,-81.74866197,0.262626263,2058549,0.126302556,10
36540,"Omaha-Council Bluffs, NE-IA",Looks like just had a lot of March For Our Lives/walkouts?,,68,26,41.28613026,-96.05127538,0.382352941,932217,0.278905019,27
14500,"Boulder, CO",Looks like just had a lot of March For Our Lives/walkouts?,,73,23,40.0949699,-105.3976911,0.315068493,324073,0.709716638,5
42220,"Santa Rosa, CA",Looks like just had a lot of March For Our Lives/walkouts?,,63,23,38.5251824,-122.9261095,0.365079365,503246,0.457032942,33
10900,"Allentown-Bethlehem-Easton, PA-NJ",Looks like just had a lot of March For Our Lives/walkouts (and then counter-protests),,60,22,40.6982382,-75.42660693,0.366666667,838081,0.26250446,2
16700,"Charleston-North Charleston, SC",Looks like just had a lot of March For Our Lives/walkouts?,,65,20,32.83706336,-79.9924291,0.307692308,775089,0.258034884,8
41420,"Salem, OR",Looks like just had a lot of March For Our Lives/walkouts? (plus one gun control bill,,74,18,44.90088426,-122.5984876,0.243243243,424968,0.423561303,31
39900,"Reno, NV",Looks like just had a lot of March For Our Lives/walkouts?,,48,18,40.734015,-119.6622724,0.375,461336,0.390171155,29
30460,"Lexington-Fayette, KY",Looks like just had a lot of March For Our Lives/walkouts?,,55,17,38.04220768,-84.46804431,0.309090909,512732,0.331557227,22
35840,"North Port-Sarasota-Bradenton, FL",Looks like just had a lot of March For Our Lives/walkouts?,,71,16,27.29744211,-82.36695001,0.225352113,805139,0.19872345,26
19380,"Dayton, OH","Lots of March For Our Lives etc, then protests after shootings",,71,16,39.75941561,-84.22021011,0.225352113,803713,0.199076038,14
15980,"Cape Coral-Fort Myers, FL",,,36,16,26.5590348,-81.8919943,0.444444444,739506,0.216360652,7
46140,"Tulsa, OK",,,52,14,36.11816487,-95.93546392,0.269230769,991610,0.141184538,36
24860,"Greenville-Anderson-Mauldin, SC",,,45,14,34.8839073,-82.40141994,0.311111111,895422,0.15635086,18
41540,"Salisbury, MD-DE",,,41,13,38.48177711,-75.40597817,0.317073171,404067,0.321728822,32
10420,"Akron, OH",,,30,13,41.13281454,-81.45609414,0.433333333,704367,0.184562877,1
18180,"Concord, NH",,,48,12,43.2995786,-71.6800412,0.25,150169,0.799099681,11
29940,"Lawrence, KS",,,27,12,38.8964168,-95.2909475,0.444444444,120629,0.994785665,21
12020,"Athens-Clarke County, GA",,,42,11,33.95015237,-83.3601743,0.261904762,208997,0.526323344,3
34940,"Naples-Immokalee-Marco Island, FL",,,33,11,26.118786,-81.4009553,0.333333333,372345,0.295424942,25
24660,"Greensboro-High Point, NC",,,42,10,36.04390784,-79.79033664,0.238095238,763486,0.130978171,17
22020,"Fargo, ND-MN",,,41,10,46.92351231,-97.15999982,0.243902439,241619,0.413874737,15
28420,"Kennewick-Richland, WA",,,37,10,46.27782056,-119.4177866,0.27027027,290570,0.344151151,19
32780,"Medford, OR",,,34,10,42.4116284,-122.6756846,0.294117647,216761,0.461337602,23
17200,"Claremont-Lebanon, NH-VT",,,31,9,43.73703382,-72.22066872,0.290322581,217272,0.414227328,9
44700,"Stockton-Lodi, CA",,,24,9,37.9349815,-121.272244,0.375,742516,0.121209509,34
18300,"Coos Bay, OR",,,19,9,43.1859095,-124.0941335,0.473684211,63781,1.411078534,12
49020,"Winchester, VA-WV",,,15,9,39.1877792,-78.21717651,0.6,138107,0.651668634,38
22660,"Fort Collins, CO",,,36,8,40.6580933,-105.4867638,0.222222222,343993,0.232562872,16
28740,"Kingston, NY",,,35,8,41.9472124,-74.2654582,0.228571429,178723,0.44762006,20
48620,"Wichita, KS",,,34,8,37.681045,-97.4610535,0.235294118,644949,0.124040816,37
18700,"Corvallis, OR",,,28,8,44.4938816,-123.4246641,0.285714286,91567,0.873677198,13
39820,"Redding, CA",,,25,8,40.7605142,-122.0435556,0.32,179539,0.445585639,28
45460,"Terre Haute, IN",,,18,8,39.40439308,-87.34603384,0.444444444,170022,0.470527344,35
12980,"Battle Creek, MI",,,18,8,42.2429896,-85.0123853,0.444444444,134358,0.595424165,4
