CBSAFP,protest_count,democrat,republican,totalvotes,perc_democrat,pop,log_pop,location_type,location_id,NAME,protest_per_10k,include_capital,geometry
10100,4,5832,11046,18032,0.323425022,43235,4.635835463,CBSA,10100,"Aberdeen, SD",0.925176362,FALSE,"c(NA, NA)"
10140,15,12020,14067,28367,0.423731801,72553,4.860655375,CBSA,10140,"Aberdeen, WA",2.067454137,FALSE,"c(NA, NA)"
10180,6,11590,42934,57298,0.202275821,170516,5.231765136,CBSA,10180,"Abilene, TX",0.351873138,FALSE,"c(NA, NA)"
10300,9,16750,26430,45939,0.364613945,98482,4.99335686,CBSA,10300,"Adrian, MI",0.913872586,FALSE,"c(NA, NA)"
10420,30,166653,151997,334118,0.49878486,704367,5.847799001,CBSA,10420,"Akron, OH",0.425914332,FALSE,"c(NA, NA)"
10460,4,6124,11887,20060,0.305284148,66198,4.820844869,CBSA,10460,"Alamogordo, NM",0.604247862,FALSE,"c(NA, NA)"
10500,3,31418,29679,62154,0.505486373,151293,5.179818835,CBSA,10500,"Albany, GA",0.198290734,FALSE,"c(NA, NA)"
10540,4,17995,33488,58719,0.306459579,124977,5.096830095,CBSA,10540,"Albany, OR",0.320058891,FALSE,"c(NA, NA)"
10580,139,204694,173895,406816,0.503161134,882130,5.945532592,CBSA,10580,"Albany-Schenectady-Troy, NY",1.575731468,TRUE,"c(-73.781339, 42.659829)"
10620,1,7094,21964,29917,0.237122706,61451,4.788528955,CBSA,10620,"Albemarle, NC",0.162731282,FALSE,"c(NA, NA)"
10660,4,6041,8808,16051,0.376362843,30537,4.484826369,CBSA,10660,"Albert Lea, MN",1.309886367,FALSE,"c(NA, NA)"
10740,88,183750,137532,370268,0.496262167,912897,5.96042178,CBSA,10740,"Albuquerque, NM",0.963964171,FALSE,"c(NA, NA)"
10780,4,19503,44224,65665,0.297007538,153604,5.186402525,CBSA,10780,"Alexandria, LA",0.260409885,FALSE,"c(NA, NA)"
10820,1,6227,13966,21785,0.28583888,37556,4.57467933,CBSA,10820,"Alexandria, MN",0.266269038,FALSE,"c(NA, NA)"
10900,60,173813,194027,382524,0.454384561,838081,5.923285995,CBSA,10900,"Allentown-Bethlehem-Easton, PA-NJ",0.715921253,FALSE,"c(NA, NA)"
10940,3,5666,9880,16465,0.344123899,41011,4.612900359,CBSA,10940,"Alma, MI",0.731511058,FALSE,"c(NA, NA)"
10980,3,4877,9090,14698,0.331813852,28438,4.45389905,CBSA,10980,"Alpena, MI",1.054926507,FALSE,"c(NA, NA)"
11020,6,13958,39135,54909,0.254202408,123175,5.090522571,CBSA,11020,"Altoona, PA",0.487111833,FALSE,"c(NA, NA)"
11100,12,16421,67486,87889,0.186837943,264955,5.42317212,CBSA,11100,"Amarillo, TX",0.452907097,FALSE,"c(NA, NA)"
11180,12,25709,19458,50667,0.507411135,97260,4.987934265,CBSA,11180,"Ames, IA",1.233806292,FALSE,"c(NA, NA)"
11220,1,6595,11301,19054,0.346121549,49216,4.692106314,CBSA,11220,"Amsterdam, NY",0.203185956,FALSE,"c(NA, NA)"
11260,61,NA,NA,NA,NA,400647,5.602761895,CBSA,11260,"Anchorage, AK",1.522537296,FALSE,"c(NA, NA)"
11420,3,3744,10133,14566,0.257036935,34421,4.536823483,CBSA,11420,"Angola, IN",0.871560966,FALSE,"c(NA, NA)"
11460,83,128483,50631,188578,0.681325499,369208,5.567271103,CBSA,11460,"Ann Arbor, MI",2.248055297,FALSE,"c(NA, NA)"
11500,3,13242,32865,47864,0.276658867,114664,5.059427088,CBSA,11500,"Anniston-Oxford-Jacksonville, AL",0.261633991,FALSE,"c(NA, NA)"
11540,16,47733,65232,120518,0.396065318,236058,5.373018723,CBSA,11540,"Appleton, WI",0.677799524,FALSE,"c(NA, NA)"
11620,1,4002,13752,18534,0.215927485,48295,4.68390217,CBSA,11620,"Ardmore, OK",0.207060772,FALSE,"c(NA, NA)"
11680,2,3551,8270,12621,0.281356469,35356,4.548463125,CBSA,11680,"Arkansas City-Winfield, KS",0.56567485,FALSE,"c(NA, NA)"
11700,74,109678,117237,239119,0.458675388,455255,5.658254724,CBSA,11700,"Asheville, NC",1.625462653,FALSE,"c(NA, NA)"
11740,2,5740,17493,24590,0.233428223,53685,4.729852957,CBSA,11740,"Ashland, OH",0.372543541,FALSE,"c(NA, NA)"
11780,1,15577,23318,40867,0.381163286,97692,4.989859001,CBSA,11780,"Ashtabula, OH",0.102362527,FALSE,"c(NA, NA)"
11820,10,9252,8138,19664,0.470504475,39119,4.592387744,CBSA,11820,"Astoria, OR",2.556302564,FALSE,"c(NA, NA)"
