location_id,location_name,protest_count,topic_protest,internal_point_latitude,internal_point_longitude,perc_topic,pop,topic_per_10k
10900,"Allentown-Bethlehem-Easton, PA-NJ",65,22,40.651,-75.385,0.338461538,838081,0.26250446
14500,"Boulder, CO",75,23,40.032,-105.234,0.306666667,324073,0.709716638
14860,"Bridgeport-Stamford-Norwalk, CT",127,31,41.163,-73.408,0.244094488,943457,0.328578833
15980,"Cape Coral-Fort Myers, FL",36,16,26.596,-81.895,0.444444444,739506,0.216360652
16700,"Charleston-North Charleston, SC",66,20,32.838,-79.959,0.303030303,775089,0.258034884
19380,"Dayton, OH",75,17,39.768,-84.146,0.226666667,803713,0.211518291
30460,"Lexington-Fayette, KY",60,17,38.038,-84.506,0.283333333,512732,0.331557227
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",334,99,26.165,-80.183,0.296407186,6149687,0.160983803
35840,"North Port-Sarasota-Bradenton, FL",72,16,27.376,-82.534,0.222222222,805139,0.19872345
36540,"Omaha-Council Bluffs, NE-IA",71,26,41.242,-95.978,0.366197183,932217,0.278905019
39900,"Reno, NV",52,18,39.520,-119.807,0.346153846,461336,0.390171155
40060,"Richmond, VA",123,30,37.542,-77.447,0.243902439,1292911,0.232034533
41420,"Salem, OR",75,18,44.943,-123.027,0.24,424968,0.423561303
42220,"Santa Rosa, CA",66,23,38.368,-122.688,0.348484848,503246,0.457032942
