date,location,latitude,longitude
1/15/17,"Bowie State University, Bowie, MD",39.019,-76.759
1/16/17,"Johnson City, TN",36.313,-82.353
1/16/17,"Indianapolis, IN",39.768,-86.158
1/16/17,"Cincinnati, OH",39.103,-84.512
1/18/17,"Hartford, CT",41.764,-72.685
1/19/17,"Washington, DC",38.907,-77.037
1/19/17,"Washington, DC",38.907,-77.037
1/20/17,"University of Washington, Seattle, WA",47.655,-122.304
1/20/17,"Westlake Park, Seattle, WA",47.611,-122.337
1/20/17,"Columbus, OH",39.961,-82.999
1/20/17,"Anacortes, WA",48.513,-122.613
1/20/17,"Gainesville, FL",29.652,-82.325
1/20/17,"Salt Lake City, UT",40.77,-111.872
1/20/17,"Isla Vista, CA",34.413,-119.861
1/20/17,"Hagåtña, Guam",13.476,144.75
1/20/17,"Toledo, OH",41.664,-83.555
1/20/17,"Milford, CT",41.231,-73.064
1/20/17,"Manchester, VT",43.164,-73.072
1/20/17,"St. Cloud, MN",45.558,-94.163
1/20/17,"Richmond, VA",37.541,-77.436
1/20/17,"Madison, WI",43.073,-89.401
1/20/17,"Traditions Plaza, University of Missouri, MO",38.944,-92.329
1/20/17,"Durango, CO",37.275,-107.88
1/20/17,"Washington, DC",38.907,-77.037
1/20/17,"Napa, CA",38.298,-122.287
1/20/17,"Golden Gate Bridge, San Francisco, CA",37.82,-122.478
1/20/17,"San Francisco, CA",37.775,-122.419
1/20/17,"Atlanta, GA",33.749,-84.388
1/20/17,"Nashville, TN",36.163,-86.782
1/21/17,"Carlisle, PA",40.201,-77.2
1/21/17,"Washington, DC",38.907,-77.037
1/21/17,"Los Angeles, CA",34.052,-118.244
1/21/17,"New York, NY",40.713,-74.006
1/21/17,"Chicago, IL",41.878,-87.63
1/21/17,"Boston, MA",42.36,-71.059
1/21/17,"San Francisco, CA",37.775,-122.419
1/21/17,"Denver, CO",39.739,-104.99
1/21/17,"Seattle, WA",47.606,-122.332
1/21/17,"Oakland, CA",37.804,-122.271
1/21/17,"St. Paul/Minneapolis, MN",44.937,-93.201
1/21/17,"Madison, WI",43.073,-89.401
1/21/17,"Portland, OR",45.523,-122.676
1/21/17,"Atlanta, GA",33.749,-84.388
1/21/17,"Austin, TX",30.267,-97.743
1/21/17,"Philadelphia, PA",39.953,-75.165
1/21/17,"San Diego, CA",32.716,-117.161
1/21/17,"San Jose, CA",37.338,-121.886
1/21/17,"Sacramento, CA",38.582,-121.494
1/21/17,"Des Moines, IA",41.601,-93.609
1/21/17,"Pittsburgh, PA",40.441,-79.996
1/21/17,"Charlotte, NC",35.227,-80.843
1/21/17,"Phoenix, AZ",33.448,-112.074
1/21/17,"Santa Ana, CA",33.746,-117.868
1/21/17,"Houston, TX",29.76,-95.37
1/21/17,"St. Petersburg, FL",27.752,-82.627
1/21/17,"Raleigh, NC",35.78,-78.638
1/21/17,"Lansing, MI",42.733,-84.556
1/21/17,"Montpelier, VT",44.26,-72.575
1/21/17,"Nashville, TN",36.163,-86.782
1/21/17,"Miami, FL",25.762,-80.192
1/21/17,"Tallahassee, FL",30.438,-84.281
1/21/17,"Cleveland, OH",41.499,-81.694
1/21/17,"Tucson, AZ",32.222,-110.926
1/21/17,"Omaha, NE",41.252,-95.998
1/21/17,"St. Louis, MO",38.627,-90.199
1/21/17,"Santa Fe, NM",35.687,-105.938
1/21/17,"Ashland, OR",42.195,-122.709
1/21/17,"Santa Cruz, CA",36.974,-122.031
1/21/17,"Ann Arbor, MI",42.281,-83.743
1/21/17,"New Orleans, LA",29.951,-90.072
1/21/17,"Hartford, CT",41.764,-72.685
1/21/17,"Helena, MT",46.588,-112.025
1/21/17,"Olympia, WA",47.038,-122.901
1/21/17,"Portland, ME",43.661,-70.255
1/21/17,"Reno, NV",39.53,-119.814
1/21/17,"Seneca Falls, NY",42.911,-76.797
1/21/17,"Oklahoma City, OK",35.468,-97.516
1/21/17,"Las Vegas, NV",36.17,-115.14
1/21/17,"Ithaca, NY",42.444,-76.502
1/21/17,"Sarasota, FL",27.336,-82.531
1/21/17,"Albuquerque, NM",35.085,-106.606
1/21/17,"Asheville, NC",35.595,-82.551
1/21/17,"Eugene, OR",44.052,-123.087
1/21/17,"San Luis Obispo, CA",35.283,-120.66
1/21/17,"Cincinnati, OH",39.103,-84.512
1/21/17,"Albany, NY",42.653,-73.756
1/21/17,"Spokane, WA",47.659,-117.426
1/21/17,"Augusta, ME",44.311,-69.779
1/21/17,"Birmingham, AL",33.521,-86.802
1/21/17,"Kansas City, MO",39.1,-94.579
1/21/17,"Lexington, KY",38.041,-84.504
1/21/17,"Colorado Springs, CO",38.834,-104.821
1/21/17,"Little Rock, AR",34.746,-92.29
1/21/17,"Trenton, NJ",40.217,-74.743
1/21/17,"Indianapolis, IN",39.768,-86.158
1/21/17,"Dallas, TX",32.777,-96.797
1/21/17,"Eureka, CA",40.802,-124.164
1/21/17,"Park City, UT",40.646,-111.498
1/21/17,"Santa Barbara, CA",34.421,-119.698
1/21/17,"San Marcos, CA",33.143,-117.166
1/21/17,"Walnut Creek, CA",37.91,-122.065
1/21/17,"Asbury Park, NJ",40.22,-74.012
1/21/17,"Providence, RI",41.824,-71.413
1/21/17,"West Palm Beach, FL",26.715,-80.053
1/21/17,"Memphis, TN",35.15,-90.049
1/21/17,"Poughkeepsie, NY",41.7,-73.921
1/21/17,"Bellingham, WA",48.752,-122.479
1/21/17,"Fort Worth, TX",32.755,-97.331
1/21/17,"Champaign, IL",40.116,-88.243
1/21/17,"Honolulu (Oahu), HI",21.307,-157.858
1/21/17,"Orlando, FL",28.538,-81.379
1/21/17,"Baltimore, MD",39.29,-76.612
1/21/17,"Boise, ID",43.619,-116.215
1/21/17,"Louisville, KY",38.253,-85.758
1/21/17,"Santa Rosa, CA",38.44,-122.714
1/21/17,"Stamford, CT",41.053,-73.539
1/21/17,"Concord, NH",43.208,-71.538
1/21/17,"Grand Junction, CO",39.064,-108.551
1/21/17,"Greensboro, NC",36.073,-79.792
1/21/17,"Detroit, MI",42.331,-83.046
1/21/17,"Riverside, CA",33.953,-117.396
1/21/17,"Bend, OR",44.058,-121.315
1/21/17,"Portsmouth, NH",43.072,-70.763
1/21/17,"Laguna Beach, CA",33.542,-117.783
1/21/17,"Roanoke, VA",37.271,-79.941
1/21/17,"Naples, FL",26.142,-81.795
1/21/17,"Topeka, KS",39.056,-95.689
1/21/17,"Knoxville, TN",35.961,-83.921
1/21/17,"Sioux Falls, SD",43.545,-96.731
1/21/17,"Key West, FL",24.555,-81.78
1/21/17,"Kona, HI",19.64,-155.997
1/21/17,"Erie, PA",42.129,-80.085
1/21/17,"Kahului, Maui, HI",20.889,-156.473
1/21/17,"Dayton, OH",39.759,-84.192
1/21/17,"Napa, CA",38.298,-122.287
1/21/17,"Sonoma, CA",38.292,-122.458
1/21/17,"Traverse City, MI",44.763,-85.621
1/21/17,"Wichita, KS",37.687,-97.33
1/21/17,"Anchorage, AK",61.218,-149.9
1/21/17,"Lincoln, NE",40.826,-96.685
1/21/17,"Buffalo, NY",42.886,-78.878
1/21/17,"Grand Rapids, MI",42.963,-85.668
1/21/17,"Northampton, MA",42.325,-72.641
1/21/17,"Columbia, MO",38.952,-92.334
1/21/17,"Jackson, MS",32.299,-90.185
1/21/17,"Athens, GA",33.952,-83.358
1/21/17,"Denton, TX",33.215,-97.133
1/21/17,"Fort Bragg, CA",39.446,-123.805
1/21/17,"Moscow, ID",46.732,-117
1/21/17,"Redwood City, CA",37.485,-122.236
1/21/17,"Binghamton, NY",42.099,-75.918
1/21/17,"Charleston, WV",38.35,-81.633
1/21/17,"Columbia, SC",34.001,-81.035
1/21/17,"Hudson, NY",42.253,-73.791
1/21/17,"Jacksonville, FL",30.332,-81.656
1/21/17,"Syracuse, NY",43.048,-76.147
1/21/17,"Salem, OR",44.943,-123.035
1/21/17,"Norfolk, VA",36.851,-76.286
1/21/17,"Ventura, CA",34.275,-119.229
1/21/17,"Charlottesville, VA",38.029,-78.477
1/21/17,"Walla Walla, WA",46.065,-118.343
1/21/17,"San Antonio, TX",29.424,-98.494
1/21/17,"Charleston, SC",32.776,-79.931
1/21/17,"East Liberty, PA",40.464,-79.926
1/21/17,"Fairbanks, AK",64.838,-147.716
1/21/17,"Fresno, CA",36.747,-119.773
1/21/17,"Greenfield, MA",42.588,-72.599
1/21/17,"Greenville, SC",34.853,-82.394
1/21/17,"Pensacola, FL",30.421,-87.217
1/21/17,"Port Jefferson, NY",40.946,-73.069
1/21/17,"Redondo Beach, CA",33.849,-118.388
1/21/17,"Richmond, VA",37.541,-77.436
1/21/17,"South Orange, NJ",40.749,-74.261
1/21/17,"Springfield, MO",37.209,-93.292
1/21/17,"Wenatchee, WA",47.423,-120.31
1/21/17,"Carbondale, IL",37.727,-89.217
1/21/17,"Chattanooga, TN",35.046,-85.31
1/21/17,"Chico, CA",39.728,-121.837
1/21/17,"Fargo, ND",46.877,-96.79
1/21/17,"Wilmington, NC",34.226,-77.945
1/21/17,"Hilo, HI",19.707,-155.088
1/21/17,"Douglas-Saugatuck, MI",42.642,-86.208
1/21/17,"Peoria, IL",40.694,-89.589
1/21/17,"Rochester, NY",43.161,-77.611
1/21/17,"Ukiah, CA",39.15,-123.208
1/21/17,"Richland, WA",46.286,-119.284
1/21/17,"Annapolis, MD",38.978,-76.492
1/21/17,"Duluth, MN",46.787,-92.1
1/21/17,"Cheyenne, WY",41.14,-104.82
1/21/17,"Friday Harbor, WA",48.534,-123.017
1/21/17,"Gainesville, FL",29.652,-82.325
1/21/17,"Lihue (Kauai), HI",21.981,-159.371
1/21/17,"Newport, OR",44.637,-124.053
1/21/17,"Pittsfield, MA",42.45,-73.245
1/21/17,"Doylestown, PA",40.31,-75.13
1/21/17,"El Paso, TX",31.762,-106.485
1/21/17,"Flagstaff, AZ",35.198,-111.651
1/21/17,"Kalamazoo, MI",42.292,-85.587
1/21/17,"Rapid City, SD",44.081,-103.231
