date,location,latitude,longitude,internal_point_latitude,internal_point_longitude
1/15/17,"Bowie State University, Bowie, MD",39.019,-76.759,38.8258796,-76.8472724
1/16/17,"Johnson City, TN",36.313,-82.353,36.2956649,-82.4950374
1/16/17,"Indianapolis, IN",39.768,-86.158,39.7829759,-86.1357939
1/16/17,"Cincinnati, OH",39.103,-84.512,39.1969272,-84.5441868
1/18/17,"Hartford, CT",41.764,-72.685,41.8060534,-72.7329157
1/19/17,"Washington, DC",38.907,-77.037,38.9041031,-77.017229
1/19/17,"Washington, DC",38.907,-77.037,38.9041031,-77.017229
1/20/17,"University of Washington, Seattle, WA",47.655,-122.304,47.4905993,-121.833996
1/20/17,"Westlake Park, Seattle, WA",47.611,-122.337,47.4905993,-121.833996
1/20/17,"Columbus, OH",39.961,-82.999,39.9695753,-83.0068645
1/20/17,"Anacortes, WA",48.513,-122.613,48.4932917,-121.8157703
1/20/17,"Gainesville, FL",29.652,-82.325,29.6757403,-82.357221
1/20/17,"Salt Lake City, UT",40.77,-111.872,40.6678828,-111.9242397
1/20/17,"Isla Vista, CA",34.413,-119.861,34.5370572,-120.0399729
1/20/17,"Hagåtña, Guam",13.476,144.75,41.6823213,-83.4689033
1/20/17,"Toledo, OH",41.664,-83.555,41.3497173,-72.9002037
1/20/17,"Milford, CT",41.231,-73.064,43.0353254,-73.1114603
1/20/17,"Manchester, VT",43.164,-73.072,45.5552345,-94.6104822
1/20/17,"St. Cloud, MN",45.558,-94.163,37.531399,-77.4760085
1/20/17,"Richmond, VA",37.541,-77.436,43.0674684,-89.4178523
1/20/17,"Madison, WI",43.073,-89.401,38.9898614,-92.3102022
1/20/17,"Traditions Plaza, University of Missouri, MO",38.944,-92.329,37.2873673,-107.8397178
1/20/17,"Durango, CO",37.275,-107.88,38.9041031,-77.017229
1/20/17,"Washington, DC",38.907,-77.037,38.5070999,-122.3259045
1/20/17,"Napa, CA",38.298,-122.287,37.7272391,-123.0322294
1/20/17,"Golden Gate Bridge, San Francisco, CA",37.82,-122.478,37.7272391,-123.0322294
1/20/17,"San Francisco, CA",37.775,-122.419,33.7900338,-84.4681816
1/20/17,"Atlanta, GA",33.749,-84.388,36.1691287,-86.7847898
1/20/17,"Nashville, TN",36.163,-86.782,40.1648047,-77.2634419
1/21/17,"Carlisle, PA",40.201,-77.2,38.9041031,-77.017229
1/21/17,"Washington, DC",38.907,-77.037,34.1963983,-118.2618616
1/21/17,"Los Angeles, CA",34.052,-118.244,40.7766419,-73.9701871
1/21/17,"New York, NY",40.713,-74.006,41.8942937,-87.6454546
1/21/17,"Chicago, IL",41.878,-87.63,42.3385513,-71.018253
1/21/17,"Boston, MA",42.36,-71.059,37.7272391,-123.0322294
1/21/17,"San Francisco, CA",37.775,-122.419,39.7618502,-104.8811054
1/21/17,"Denver, CO",39.739,-104.99,47.4905993,-121.833996
1/21/17,"Seattle, WA",47.606,-122.332,37.6471385,-121.912488
1/21/17,"Oakland, CA",37.804,-122.271,45.0061209,-93.4752279
1/21/17,"St. Paul/Minneapolis, MN",44.937,-93.201,43.0674684,-89.4178523
1/21/17,"Madison, WI",43.073,-89.401,45.5476932,-122.4171728
1/21/17,"Portland, OR",45.523,-122.676,33.7900338,-84.4681816
1/21/17,"Atlanta, GA",33.749,-84.388,30.2395128,-97.6912697
1/21/17,"Austin, TX",30.267,-97.743,40.0093755,-75.1333459
1/21/17,"Philadelphia, PA",39.953,-75.165,33.0236041,-116.7761174
1/21/17,"San Diego, CA",32.716,-117.161,37.2207774,-121.6906224
1/21/17,"San Jose, CA",37.338,-121.886,38.4500161,-121.3404408
1/21/17,"Sacramento, CA",38.582,-121.494,41.6848158,-93.568971
1/21/17,"Des Moines, IA",41.601,-93.609,40.4697574,-79.9804515
1/21/17,"Pittsburgh, PA",40.441,-79.996,35.2468623,-80.8338317
