date,week,location,latitude,longitude,location_type,location_id,location_name,collective_bargaining,education,environment,executive,guns,healthcare,immigration,police,race_confed,supreme_court,women,other
1/16/17,1/16/17,"Johnson City, TN",36.313,-82.353,CBSA,27740,"Johnson City, TN",0,0,0,0,0,0,0,0,1,0,0,0
1/16/17,1/16/17,"Indianapolis, IN",39.768,-86.158,CBSA,26900,"Indianapolis-Carmel-Anderson, IN",0,0,1,0,0,0,0,0,0,0,0,0
1/16/17,1/16/17,"Cincinnati, OH",39.103,-84.512,CBSA,17140,"Cincinnati, OH-KY-IN",0,0,0,0,0,0,0,0,1,0,0,0
1/18/17,1/16/17,"Hartford, CT",41.764,-72.685,CBSA,25540,"Hartford-West Hartford-East Hartford, CT",0,0,0,0,0,1,0,0,0,0,1,0
1/19/17,1/16/17,"Washington, DC",38.907,-77.037,CBSA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,0,0,1,0,0,0,0,0,0,0,0
1/19/17,1/16/17,"Washington, DC",38.907,-77.037,CBSA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,0,0,1,0,0,0,0,0,0,0,0
1/20/17,1/16/17,"University of Washington, Seattle, WA",47.655,-122.304,CBSA,42660,"Seattle-Tacoma-Bellevue, WA",0,0,0,0,0,0,0,0,1,0,0,0
1/20/17,1/16/17,"Westlake Park, Seattle, WA",47.611,-122.337,CBSA,42660,"Seattle-Tacoma-Bellevue, WA",0,0,0,1,0,0,0,0,0,0,0,0
1/20/17,1/16/17,"Columbus, OH",39.961,-82.999,CBSA,18140,"Columbus, OH",0,0,0,0,0,0,0,0,0,0,1,0
1/20/17,1/16/17,"Anacortes, WA",48.513,-122.613,CBSA,34580,"Mount Vernon-Anacortes, WA",0,0,0,0,0,0,0,0,0,0,1,0
1/20/17,1/16/17,"Gainesville, FL",29.652,-82.325,CBSA,23540,"Gainesville, FL",0,0,0,0,0,0,0,0,0,0,1,0
1/20/17,1/16/17,"Salt Lake City, UT",40.77,-111.872,CBSA,41620,"Salt Lake City, UT",0,0,0,1,0,0,0,0,0,0,0,0
1/20/17,1/16/17,"Isla Vista, CA",34.413,-119.861,CBSA,42200,"Santa Maria-Santa Barbara, CA",0,0,0,1,0,0,0,0,0,0,0,0
