week_id,week,count,perc
1,1/9/17,1,4.99E-05
2,1/16/17,453,0.022623982
3,1/23/17,147,0.007341557
4,1/30/17,166,0.008290466
5,2/6/17,204,0.010188283
6,2/13/17,189,0.009439145
7,2/20/17,181,0.009039604
8,2/27/17,204,0.010188283
9,3/6/17,188,0.009389202
10,3/13/17,125,0.006242821
11,3/20/17,167,0.008340409
12,3/27/17,103,0.005144084
13,4/3/17,103,0.005144084
14,4/10/17,167,0.008340409
15,4/17/17,221,0.011037307
16,4/24/17,177,0.008839834
17,5/1/17,221,0.011037307
18,5/8/17,118,0.005893223
19,5/15/17,88,0.004394946
20,5/22/17,63,0.003146382
21,5/29/17,132,0.006592419
22,6/5/17,135,0.006742246
23,6/12/17,67,0.003346152
24,6/19/17,78,0.00389552
25,6/26/17,100,0.004994257
26,7/3/17,93,0.004644659
27,7/10/17,57,0.002846726
28,7/17/17,82,0.00409529
29,7/24/17,137,0.006842132
30,7/31/17,57,0.002846726
31,8/7/17,301,0.015032712
32,8/14/17,257,0.012835239
33,8/21/17,129,0.006442591
34,8/28/17,98,0.004894371
35,9/4/17,245,0.012235929
36,9/11/17,105,0.005243969
37,9/18/17,122,0.006092993
38,9/25/17,172,0.008590121
39,10/2/17,111,0.005543625
40,10/9/17,101,0.005044199
41,10/16/17,96,0.004794486
42,10/23/17,95,0.004744544
43,10/30/17,89,0.004444888
44,11/6/17,71,0.003545922
45,11/13/17,104,0.005194027
46,11/20/17,44,0.002197473
47,11/27/17,107,0.005343855
48,12/4/17,135,0.006742246
49,12/11/17,62,0.003096439
50,12/18/17,41,0.002047645
51,12/25/17,6,3.00E-04
52,1/1/18,17,8.49E-04
53,1/8/18,68,0.003396094
54,1/15/18,429,0.021425361
55,1/22/18,97,0.004844429
56,1/29/18,88,0.004394946
57,2/5/18,80,0.003995405
58,2/12/18,135,0.006742246
59,2/19/18,297,0.014832942
60,2/26/18,161,0.008040753
61,3/5/18,157,0.007840983
62,3/12/18,1447,0.072266893
63,3/19/18,648,0.032362783
64,3/26/18,129,0.006442591
65,4/2/18,102,0.005094142
66,4/9/18,210,0.010487939
67,4/16/18,555,0.027718124
68,4/23/18,123,0.006142936
69,4/30/18,120,0.005993108
70,5/7/18,97,0.004844429
71,5/14/18,98,0.004894371
72,5/21/18,84,0.004195176
73,5/28/18,118,0.005893223
74,6/4/18,97,0.004844429
75,6/11/18,150,0.007491385
76,6/18/18,237,0.011836388
77,6/25/18,737,0.036807671
78,7/2/18,74,0.00369575
79,7/9/18,105,0.005243969
80,7/16/18,96,0.004794486
81,7/23/18,85,0.004245118
82,7/30/18,81,0.004045348
83,8/6/18,88,0.004394946
84,8/13/18,80,0.003995405
85,8/20/18,109,0.00544374
86,8/27/18,80,0.003995405
87,9/3/18,106,0.005293912
88,9/10/18,59,0.002946611
89,9/17/18,124,0.006192878
90,9/24/18,139,0.006942017
91,10/1/18,226,0.01128702
92,10/8/18,120,0.005993108
93,10/15/18,79,0.003945463
94,10/22/18,116,0.005793338
95,10/29/18,122,0.006092993
96,11/5/18,244,0.012185986
97,11/12/18,59,0.002946611
98,11/19/18,30,0.001498277
99,11/26/18,58,0.002896669
100,12/3/18,50,0.002497128
101,12/10/18,58,0.002896669
102,12/17/18,43,0.00214753
103,12/24/18,19,9.49E-04
104,12/31/18,36,0.001797932
105,1/7/19,107,0.005343855
106,1/14/19,235,0.011736503
107,1/21/19,202,0.010088398
108,1/28/19,64,0.003196324
109,2/4/19,71,0.003545922
110,2/11/19,68,0.003396094
111,2/18/19,198,0.009888628
112,2/25/19,68,0.003396094
113,3/4/19,97,0.004844429
114,3/11/19,159,0.007940868
115,3/18/19,82,0.00409529
116,3/25/19,104,0.005194027
117,4/1/19,122,0.006092993
118,4/8/19,116,0.005793338
119,4/15/19,114,0.005693453
120,4/22/19,102,0.005094142
121,4/29/19,157,0.007840983
122,5/6/19,115,0.005743395
123,5/13/19,111,0.005543625
124,5/20/19,331,0.016530989
125,5/27/19,73,0.003645807
126,6/3/19,104,0.005194027
127,6/10/19,149,0.007441442
128,6/17/19,106,0.005293912
129,6/24/19,100,0.004994257
130,7/1/19,126,0.006292763
131,7/8/19,277,0.013834091
132,7/15/19,106,0.005293912
133,7/22/19,106,0.005293912
134,7/29/19,109,0.00544374
135,8/5/19,121,0.00604305
136,8/12/19,128,0.006392648
137,8/19/19,88,0.004394946
138,8/26/19,73,0.003645807
139,9/2/19,52,0.002597013
