week,count
2017-02-13,1
2017-02-20,1
2017-02-27,3
2017-03-06,3
2017-03-13,9
2017-03-20,4
2017-03-27,4
2017-04-03,3
2017-04-10,3
2017-04-17,5
2017-04-24,12
2017-05-01,7
2017-05-08,3
2017-05-15,13
2017-05-22,10
2017-05-29,1
2017-06-05,6
2017-06-12,3
2017-06-19,6
2017-06-26,7
2017-07-03,1
2017-07-10,1
2017-07-17,4
2017-07-24,6
2017-07-31,3
2017-08-07,4
2017-08-14,4
2017-08-21,8
2017-08-28,4
2017-09-04,13
2017-09-11,8
2017-09-18,6
2017-09-25,6
2017-10-02,2
2017-10-09,5
2017-10-16,5
2017-10-23,8
2017-10-30,9
2017-11-06,8
2017-11-13,10
2017-11-20,3
2017-11-27,4
2017-12-04,9
2017-12-11,6
2017-12-18,2
2017-12-25,1
2018-01-01,1
2018-01-08,4
2018-01-15,4
2018-01-22,4
2018-01-29,4
2018-02-05,3
2018-02-12,6
2018-02-19,24
2018-02-26,25
2018-03-05,6
2018-03-12,9
2018-03-19,5
2018-03-26,7
2018-04-02,4
2018-04-09,6
2018-04-16,6
2018-04-23,7
2018-04-30,6
2018-05-07,13
2018-05-14,5
2018-05-21,5
2018-05-28,7
2018-06-04,2
2018-06-11,13
2018-06-18,2
2018-06-25,16
2018-07-02,1
2018-07-09,16
2018-07-16,3
2018-07-23,12
2018-07-30,2
2018-08-06,10
2018-08-13,14
2018-08-20,12
2018-08-27,15
2018-09-03,24
2018-09-10,9
2018-09-17,9
2018-09-24,9
2018-10-01,18
2018-10-08,41
2018-10-15,9
2018-10-22,17
2018-10-29,6
2018-11-05,2
2018-11-12,9
2018-11-19,3
2018-11-26,4
2018-12-03,7
2018-12-10,14
2018-12-17,8
2018-12-31,2
2019-01-07,4
2019-01-14,7
2019-01-21,9
2019-01-28,7
2019-02-04,7
2019-02-11,2
2019-02-18,7
2019-02-25,7
2019-03-04,11
2019-03-11,7
2019-03-18,9
2019-03-25,14
2019-04-01,3
2019-04-08,11
2019-04-15,15
2019-04-22,7
2019-04-29,19
2019-05-06,9
2019-05-13,10
2019-05-20,22
2019-05-27,12
2019-06-03,11
2019-06-10,17
2019-06-17,14
2019-06-24,18
2019-07-01,6
2019-07-08,5
2019-07-15,21
2019-07-22,11
2019-07-29,8
2019-08-05,5
2019-08-12,8
2019-08-19,13
2019-08-26,17
2019-09-02,10
