week,count
2017-01-16,1
2017-01-23,7
2017-01-30,5
2017-02-06,12
2017-02-13,10
2017-02-20,15
2017-02-27,8
2017-03-06,15
2017-03-13,13
2017-03-20,10
2017-03-27,8
2017-04-03,4
2017-04-10,4
2017-04-17,8
2017-04-24,74
2017-05-01,10
2017-05-08,8
2017-05-15,8
2017-05-22,5
2017-05-29,15
2017-06-05,4
2017-06-12,2
2017-06-19,4
2017-06-26,3
2017-07-03,3
2017-07-10,5
2017-07-17,4
2017-07-24,8
2017-07-31,7
2017-08-07,7
2017-08-14,5
2017-08-21,6
2017-08-28,4
2017-09-04,5
2017-09-11,14
2017-09-18,1
2017-09-25,5
2017-10-02,3
2017-10-09,6
2017-10-16,8
2017-10-23,14
2017-10-30,3
2017-11-06,4
2017-11-13,11
2017-11-20,2
2017-11-27,6
2017-12-04,8
2017-12-11,4
2017-12-18,2
2018-01-01,1
2018-01-08,6
2018-01-15,3
2018-01-22,1
2018-01-29,6
2018-02-05,9
2018-02-12,9
2018-02-19,7
2018-02-26,7
2018-03-05,13
2018-03-12,9
2018-03-19,1
2018-03-26,2
2018-04-02,4
2018-04-09,12
2018-04-16,6
2018-04-23,5
2018-04-30,4
2018-05-07,8
2018-05-14,11
2018-05-21,2
2018-05-28,1
2018-06-04,7
2018-06-11,8
2018-06-18,2
2018-06-25,6
2018-07-09,8
2018-07-16,13
2018-07-23,5
2018-07-30,5
2018-08-06,5
2018-08-13,3
2018-08-20,6
2018-08-27,8
2018-09-03,25
2018-09-10,6
2018-09-17,8
2018-09-24,3
2018-10-01,3
2018-10-08,3
2018-10-15,4
2018-10-22,2
2018-10-29,8
2018-11-12,4
2018-11-19,6
2018-11-26,2
2018-12-03,4
2018-12-10,9
2018-12-17,4
2018-12-24,1
2019-01-07,7
2019-01-14,2
2019-01-21,5
2019-01-28,2
2019-02-04,6
2019-02-11,3
2019-02-18,2
2019-02-25,2
2019-03-04,4
2019-03-11,86
2019-03-18,4
2019-03-25,7
2019-04-01,7
2019-04-08,12
2019-04-15,16
2019-04-22,10
2019-04-29,7
2019-05-06,7
2019-05-13,10
2019-05-20,14
2019-05-27,6
2019-06-03,7
2019-06-10,5
2019-06-17,14
2019-06-24,6
2019-07-01,2
2019-07-08,13
2019-07-15,6
2019-07-22,6
2019-07-29,6
2019-08-05,4
2019-08-12,4
2019-08-19,11
2019-08-26,5
2019-09-02,4
