week,count
2017-02-27,2
2017-03-06,1
2017-03-20,1
2017-03-27,3
2017-04-03,1
2017-04-10,2
2017-04-17,1
2017-04-24,3
2017-05-01,2
2017-05-08,1
2017-05-15,2
2017-05-22,1
2017-05-29,10
2017-06-12,2
2017-06-19,1
2017-07-03,3
2017-07-10,3
2017-07-31,1
2017-08-07,1
2017-08-21,2
2017-09-11,1
2017-09-18,2
2017-09-25,1
2017-10-02,13
2017-10-09,5
2017-10-30,1
2017-11-06,1
2017-11-13,1
2017-12-04,1
2017-12-11,3
2017-12-18,1
2018-01-01,1
2018-01-08,2
2018-01-15,2
2018-01-29,2
2018-02-05,1
2018-02-12,29
2018-02-19,200
2018-02-26,49
2018-03-05,33
2018-03-12,1370
2018-03-19,586
2018-03-26,15
2018-04-02,14
2018-04-09,44
2018-04-16,438
2018-04-23,9
2018-04-30,18
2018-05-07,2
2018-05-14,9
2018-05-21,9
2018-05-28,38
2018-06-04,4
2018-06-11,14
2018-06-18,6
2018-06-25,3
2018-07-02,13
2018-07-09,4
2018-07-16,5
2018-07-23,7
2018-07-30,17
2018-08-06,5
2018-08-13,3
2018-08-20,3
2018-08-27,5
2018-09-03,2
2018-09-10,2
2018-09-17,4
2018-09-24,2
2018-10-01,1
2018-10-08,5
2018-10-15,2
2018-10-22,4
2018-10-29,7
2018-11-12,3
2018-11-19,2
2018-12-03,2
2018-12-10,5
2019-01-07,4
2019-01-14,3
2019-01-21,5
2019-02-04,1
2019-02-11,4
2019-02-18,3
2019-02-25,5
2019-03-04,5
2019-03-11,5
2019-03-18,7
2019-03-25,3
2019-04-01,6
2019-04-08,3
2019-04-15,3
2019-04-22,7
2019-04-29,2
2019-05-06,4
2019-05-13,3
2019-05-20,1
2019-05-27,4
2019-06-03,31
2019-06-10,4
2019-07-01,1
2019-07-08,2
2019-07-15,2
2019-07-22,3
2019-07-29,13
2019-08-05,43
2019-08-12,57
2019-08-19,6
2019-09-02,1
