week,count
2017-01-23,1
2017-01-30,2
2017-02-06,2
2017-02-13,4
2017-02-20,4
2017-02-27,6
2017-03-06,6
2017-03-13,15
2017-03-20,13
2017-03-27,3
2017-04-03,11
2017-04-10,6
2017-04-17,7
2017-04-24,3
2017-05-01,8
2017-05-08,16
2017-05-15,10
2017-05-22,4
2017-05-29,1
2017-06-05,7
2017-06-12,5
2017-06-19,2
2017-06-26,3
2017-07-10,1
2017-07-17,11
2017-07-24,3
2017-07-31,1
2017-08-07,2
2017-08-14,2
2017-08-21,2
2017-08-28,3
2017-09-11,8
2017-09-18,3
2017-09-25,12
2017-10-02,4
2017-10-09,10
2017-10-16,6
2017-10-23,6
2017-10-30,1
2017-11-06,2
2017-11-13,7
2017-11-27,4
2017-12-04,5
2017-12-11,4
2017-12-18,2
2018-01-01,2
2018-01-08,3
2018-01-15,2
2018-01-22,13
2018-01-29,15
2018-02-05,16
2018-02-12,21
2018-02-19,24
2018-02-26,15
2018-03-05,11
2018-03-12,15
2018-03-19,18
2018-03-26,22
2018-04-02,31
2018-04-09,36
2018-04-16,18
2018-04-23,30
2018-04-30,7
2018-05-07,17
2018-05-14,11
2018-05-21,6
2018-05-28,6
2018-06-04,2
2018-06-11,3
2018-06-18,6
2018-06-25,1
2018-07-16,2
2018-07-23,1
2018-07-30,2
2018-08-06,3
2018-08-13,2
2018-08-20,10
2018-08-27,6
2018-09-03,2
2018-09-10,11
2018-09-17,5
2018-09-24,8
2018-10-01,10
2018-10-08,5
2018-10-15,7
2018-10-22,9
2018-10-29,3
2018-11-05,3
2018-11-12,7
2018-11-19,2
2018-11-26,5
2018-12-03,7
2018-12-10,5
2018-12-17,4
2018-12-24,1
2018-12-31,1
2019-01-07,2
2019-01-14,6
2019-01-21,11
2019-01-28,6
2019-02-04,4
2019-02-11,5
2019-02-18,11
2019-02-25,9
2019-03-04,20
2019-03-11,9
2019-03-18,10
2019-03-25,8
2019-04-01,14
2019-04-08,17
2019-04-15,20
2019-04-22,16
2019-04-29,17
2019-05-06,23
2019-05-13,22
2019-05-20,17
2019-05-27,6
2019-06-03,4
2019-06-10,9
2019-06-17,11
2019-06-24,8
2019-07-01,1
2019-07-08,1
2019-07-15,4
2019-07-22,2
2019-07-29,2
2019-08-05,1
2019-08-12,1
2019-08-19,3
2019-08-26,4
2019-09-02,5
