week,count
2017-01-16,19
2017-01-23,7
2017-01-30,30
2017-02-06,27
2017-02-13,30
2017-02-20,37
2017-02-27,114
2017-03-06,10
2017-03-13,11
2017-03-20,41
2017-03-27,14
2017-04-03,5
2017-04-10,103
2017-04-17,15
2017-04-24,14
2017-05-01,8
2017-05-08,14
2017-05-15,7
2017-05-22,3
2017-05-29,63
2017-06-05,4
2017-06-12,4
2017-06-19,6
2017-06-26,19
2017-07-03,3
2017-07-10,8
2017-07-17,6
2017-07-24,8
2017-07-31,6
2017-08-07,4
2017-08-14,21
2017-08-21,8
2017-08-28,7
2017-09-04,4
2017-09-11,4
2017-09-18,5
2017-09-25,6
2017-10-02,6
2017-10-09,4
2017-10-16,3
2017-10-23,5
2017-10-30,19
2017-11-06,6
2017-11-13,4
2017-11-20,4
2017-11-27,3
2017-12-04,4
2017-12-18,2
2018-01-08,6
2018-01-15,17
2018-01-22,5
2018-01-29,8
2018-02-12,3
2018-02-19,3
2018-02-26,2
2018-03-05,3
2018-03-12,8
2018-03-19,2
2018-03-26,2
2018-04-09,4
2018-04-23,4
2018-04-30,2
2018-05-07,4
2018-05-14,1
2018-05-21,3
2018-05-28,1
2018-06-04,1
2018-06-11,2
2018-06-18,7
2018-06-25,14
2018-07-02,7
2018-07-09,12
2018-07-16,18
2018-07-23,14
2018-07-30,7
2018-08-06,1
2018-08-13,4
2018-08-20,24
2018-08-27,8
2018-09-03,12
2018-09-17,24
2018-09-24,59
2018-10-01,91
2018-10-08,20
2018-10-15,3
2018-10-22,10
2018-10-29,12
2018-11-05,192
2018-11-12,2
2018-11-26,2
2018-12-24,2
2018-12-31,2
2019-01-07,26
2019-01-14,28
2019-01-21,18
2019-01-28,1
2019-02-04,1
2019-02-11,3
2019-02-18,5
2019-02-25,1
2019-03-04,4
2019-03-11,1
2019-03-18,4
2019-03-25,7
2019-04-01,35
2019-04-08,2
2019-04-15,2
2019-04-22,2
2019-04-29,3
2019-05-06,1
2019-05-13,3
2019-05-20,4
2019-05-27,3
2019-06-03,1
2019-06-10,40
2019-06-17,8
2019-06-24,2
2019-07-01,9
2019-07-08,12
2019-07-15,15
2019-07-22,11
2019-07-29,24
2019-08-05,10
2019-08-12,4
2019-08-19,4
2019-09-02,1
