date,location,attendees,event_legacy_see_tags,tags,curated,source,total_articles,state,short_loc,geometry,state_fips,county_fips,state_and_county_fips,county_name_short,county_name_long,combined_statistical_area,metro_micro_stat_area,land_area,water_area,internal_point_latitude,internal_point_longitude,population_estimate_2017,fips_int,totalvotes,perc_democrat,perc_republican,week,location_type,location_id,cbsa_name,location_name
2017-03-03,"Valdosta, GA",NA,Guns,Guns; For greater gun control,Yes,http://www.tribstar.com/cnhi_network/georgia-professors-students-protest-against-campus-carry-bill/article_242afaab-a4cc-5fa8-85cf-30731727e346.html,2,GA,"Valdosta, GA","c(-83.278, 30.833)",13,185,13185,Lowndes,Lowndes County,NA,46660,1285022595,37361466,30.833145,-83.2689952,115389,13185,37805,0.3984658114006084,0.572278799100648,2017-02-27,CBSA,46660,"Valdosta, GA","Valdosta, GA"
2017-03-04,"Concord, NH",20,Guns,Guns; Against greater gun control,No,http://www.wcax.com/story/34669250/gun-rights-activists-rally-in-concord,1,NH,"Concord, NH","c(-71.538, 43.208)",33,013,33013,Merrimack,Merrimack County,148,18180,2415829018,57547411,43.2995786,-71.6800412,150169,33013,83648,0.4805614001530222,0.450387337413925,2017-02-27,CBSA,18180,"Concord, NH","Concord, NH"
2017-03-09,"Albany, NY",300,Guns,Guns; Against greater gun control,No,https://dailygazette.com/article/2017/03/10/cuomo-s-ouster-major-theme-of-anti-safe-act-rally,1,NY,"Albany, NY","c(-73.756, 42.653)",36,001,36001,Albany,Albany County,104,10580,1354083642,27161700,42.5882401,-73.9740095,307717,36001,139830,0.594128584710005,0.34191518272187654,2017-03-06,CBSA,10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY"
2017-03-21,"University of Georgia, Athens, GA",50,Other (Campus Carry Bill),Guns; For greater gun control,Yes,http://www.redandblack.com/athensnews/students-gather-at-the-arch-to-protest-campus-carry-bill/article_4c2f345e-0e9b-11e7-a8b3-cb6220ded4c5.html,1,GA,"Athens, GA","c(-83.377, 33.948)",13,059,13059,Clarke,Clarke County,122,12020,308764509,4715185,33.9521852,-83.3671522,126820,13059,44976,0.658195482034863,0.2827508004268943,2017-03-20,CBSA,12020,"Athens-Clarke County, GA","Athens-Clarke County, GA"
2017-03-31,"Henderson, IL",NA,Guns,Guns; Against violence,No,http://www.chicagotribune.com/photos/ct-elementary-school-students-march-against-gun-violence-photos-20170331-photogallery.html,1,IL,"Henderson, IL","c(-90.356, 41.025)",17,095,17095,Knox,Knox County,NA,23660,1855506547,8834348,40.9309412,-90.2137611,50628,17095,22243,0.4533111540709437,0.4827136627253518,2017-03-27,CBSA,23660,"Galesburg, IL","Galesburg, IL"
2017-03-31,"Louisville, KY",NA,Guns,Guns; Against greater gun control,No,http://www.courier-journal.com/videos/news/local/2017/03/31/conceal-and-carry-advocates-march-u-l/99883672/,1,KY,"Louisville, KY","c(-85.758, 38.253)",21,111,21111,Jefferson,Jefferson County,350,31140,985870988,44122247,38.1895321,-85.6576243,770377,21111,353099,0.5404603241583805,0.4071605980192524,2017-03-27,CBSA,31140,"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN"
2017-03-31,"Chicago, IL",100,Guns,Guns; Against violence,No,http://wgntv.com/2017/03/31/englewood-students-lead-peace-march-and-rally-against-chicago-violence/,1,IL,"Chicago, IL","c(-87.63, 41.878)",17,031,17031,Cook,Cook County,176,16980,2447469694,1786452809,41.8942937,-87.6454546,5204502,17031,2158615,0.7467501152359267,0.20998973879084507,2017-03-27,CBSA,16980,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI"
2017-04-08,"Elizabeth, NJ",200,Guns,Guns; For greater gun control,Yes,http://www.northjersey.com/story/news/paterson-press/2017/04/10/paterson-peace-march-recalls-victims-street-violence/100283166/,1,NJ,"Elizabeth, NJ","c(-74.211, 40.664)",34,039,34039,Union,Union County,408,35620,266170662,7046286,40.6598707,-74.3086957,555273,34039,221975,0.6641018132672598,0.30685437549273564,2017-04-03,CBSA,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
2017-04-12,"Morristown, NJ",NA,Guns,Guns; For greater gun control,Yes,http://www.townshipjournal.com/apps/pbcs.dll/article?AID=/20170419/NEWS01/170419926/0/photocontest/Brady-Campaign-protests-concealed-carry-proposal,1,NJ,"Morristown, NJ","c(-74.482, 40.797)",34,027,34027,Morris,Morris County,408,35620,1192765238,54376835,40.8588961,-74.5472917,494225,34027,250416,0.4602301769854961,0.5034462654143506,2017-04-10,CBSA,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
2017-04-14,"Englewood, IL",100,Guns,Guns; For greater gun control,Yes,http://www.chicagotribune.com/news/ct-cupich-walk-for-peace-met-20170414-story.html,1,IL,"Englewood, IL","c(-87.642, 41.775)",17,031,17031,Cook,Cook County,176,16980,2447469694,1786452809,41.8942937,-87.6454546,5204502,17031,2158615,0.7467501152359267,0.20998973879084507,2017-04-10,CBSA,16980,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI"
