date,location,attendees,event_legacy_see_tags,tags,curated,source,total_articles,state,short_loc,geometry,state_fips,county_fips,state_and_county_fips,county_name_short,county_name_long,combined_statistical_area,metro_micro_stat_area,land_area,water_area,internal_point_latitude,internal_point_longitude,population_estimate_2017,fips_int,totalvotes,perc_democrat,perc_republican,week,location_type,location_id,cbsa_name,location_name
2017-01-25,"Nashville, TN",100,Immigration,Immigration; Against travel ban,Yes,http://wkrn.com/2017/01/25/around-100-protest-trumps-immigration-reform-in-downtown-nashville/,1,TN,"Nashville, TN","c(-86.778, 36.163)",47,037,47037,Davidson,Davidson County,400,34980,1304960561,56649279,36.1691287,-86.7847898,689006,47037,249068,0.5976841665729841,0.3394655274864696,2017-01-23,CBSA,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN"
2017-01-26,"Greensboro, NC",200,Immigration,Immigration; Against travel ban,Yes,http://myfox8.com/2017/01/26/hundreds-protest-president-trumps-executive-orders-in-greensboro/,1,NC,"Greensboro, NC","c(-79.792, 36.073)",37,081,37081,Guilford,Guilford County,268,24660,1672545660,30723331,36.079065,-79.7886652,529496,37081,257405,0.5798177968570929,0.3809638507410501,2017-01-23,CBSA,24660,"Greensboro-High Point, NC","Greensboro-High Point, NC"
2017-01-26,"Grand Rapids, MI",200,Immigration,Immigration; Against travel ban,Yes,http://woodtv.com/2017/01/26/refugees-protest-trumps-un-american-immigration-orders/,1,MI,"Grand Rapids, MI","c(-85.669, 42.966)",26,081,26081,Kent,Kent County,266,24340,2195420014,62899810,43.0324971,-85.547446,649231,26081,308184,0.4500006489629572,0.48081665498533344,2017-01-23,CBSA,24340,"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI"
2017-01-27,"Denver International Airport, Denver, CO",200,Immigration (Airport),Immigration; Against travel ban,Yes,https://www.denverite.com/denver-international-airport-will-see-protest-trumps-refugee-travel-ban-28284/,1,CO,"Denver, CO","c(-104.674, 39.856)",08,031,08031,Denver,Denver County,216,19740,397057845,4236701,39.7618502,-104.8811054,705439,8031,331852,0.7369279076214698,0.1889095138796813,2017-01-23,CBSA,19740,"Denver-Aurora-Lakewood, CO","Denver-Aurora-Lakewood, CO"
2017-01-27,"Fresno, CA",150,Immigration,Immigration; Against travel ban,Yes,http://www.fresnobee.com/news/local/article129267194.html,1,CA,"Fresno, CA","c(-119.773, 36.747)",06,019,06019,Fresno,Fresno County,260,23420,15431410219,137339029,36.7610058,-119.6550193,986542,6019,282319,0.500642889780709,0.43939302703679173,2017-01-23,CBSA,23420,"Fresno, CA","Fresno, CA"
2017-01-27,"Indianapolis International Airport, Indianapolis, IN",75,Immigration,Immigration; Against travel ban,Yes,http://wishtv.com/2017/01/27/several-groups-protest-trumps-stance-on-immigration-and-refugees/,1,IN,"Indianapolis, IN","c(-86.296, 39.717)",18,097,18097,Marion,Marion County,294,26900,1026465038,17326366,39.7829759,-86.1357939,948952,18097,362372,0.5875150397933615,0.3597408188270617,2017-01-23,CBSA,26900,"Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN"
2017-01-27,"Miami-Ade County Hall, Miami, FL",100,Immigration,Immigration; For sanctuary city/state,Yes,http://miami.cbslocal.com/2017/01/27/activists-protest-mayors-sanctuary-city-policy-change/,1,FL,"Miami, FL","c(-80.197, 25.776)",12,086,12086,Miami-Dade,Miami-Dade County,370,33100,4917514967,1379206478,25.6105796,-80.4991365,2744878,12086,980204,0.636751125275963,0.3407443756605768,2017-01-23,CBSA,33100,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL"
2017-01-28,"JFK Airport, New York, NY",1010,Immigration (Airport),Immigration; Against travel ban,Yes,http://www.latimes.com/politics/washington/la-na-trailguide-updates-thousands-at-jfk-airport-in-new-york-1485642642-htmlstory.html,1,NY,"New York, NY","c(-73.778, 40.641)",36,081,36081,Queens,Queens County,408,35620,281697156,179401845,40.6585662,-73.8380168,2296865,36081,686393,0.7535333256603725,0.21757360579143437,2017-01-23,CBSA,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
2017-01-28,"Seattle-Tacoma International Airport, Seattle, WA",3000,Immigration (Airport),Immigration; Against travel ban,Yes,http://www.king5.com/news/local/immigration-ban-protests-planned-in-seattle-area-across-nation/394258878,1,WA,"Seattle, WA","c(-122.309, 47.45)",53,033,53033,King,King County,500,42660,5478366437,497909625,47.4905993,-121.833996,2204229,53033,998499,0.7194018221350247,0.21666421298368851,2017-01-23,CBSA,42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA"
2017-01-28,"SFO Airport, San Francisco, CA",1000,Immigration (Airport),Immigration; Against travel ban,Yes,http://www.usatoday.com/story/news/2017/01/28/1000-flood-sfo-protest-immigration-ban/97200022/,1,CA,"San Francisco, CA","c(-122.379, 37.621)",06,081,06081,San Mateo,San Mateo County,488,41860,1161757245,757313941,37.4146725,-122.3715457,768808,6081,314384,0.7566606443075984,0.1842619217262965,2017-01-23,CBSA,41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA"
