week,count
2017-01-30,1
2017-02-13,2
2017-02-20,2
2017-02-27,3
2017-03-06,3
2017-03-13,2
2017-03-20,5
2017-03-27,4
2017-04-03,7
2017-04-10,2
2017-04-17,5
2017-04-24,2
2017-05-01,4
2017-05-08,10
2017-05-15,5
2017-05-22,4
2017-05-29,4
2017-06-05,4
2017-06-12,10
2017-06-19,5
2017-06-26,2
2017-07-03,3
2017-07-10,6
2017-07-17,5
2017-07-24,4
2017-07-31,3
2017-08-07,6
2017-08-14,5
2017-08-21,7
2017-08-28,11
2017-09-04,3
2017-09-11,14
2017-09-18,40
2017-09-25,47
2017-10-02,20
2017-10-09,18
2017-10-16,24
2017-10-23,7
2017-10-30,12
2017-11-06,9
2017-11-13,11
2017-11-20,11
2017-11-27,7
2017-12-04,1
2017-12-11,8
2017-12-18,3
2018-01-08,3
2018-01-15,5
2018-01-22,6
2018-01-29,6
2018-02-05,4
2018-02-12,5
2018-02-19,11
2018-02-26,7
2018-03-05,3
2018-03-12,3
2018-03-19,8
2018-03-26,16
2018-04-02,9
2018-04-09,12
2018-04-16,12
2018-04-23,6
2018-04-30,7
2018-05-07,8
2018-05-14,3
2018-05-21,10
2018-05-28,4
2018-06-04,7
2018-06-11,4
2018-06-18,18
2018-06-25,12
2018-07-02,6
2018-07-09,8
2018-07-16,10
2018-07-23,5
2018-07-30,8
2018-08-06,11
2018-08-13,10
2018-08-20,13
2018-08-27,5
2018-09-03,11
2018-09-10,9
2018-09-17,9
2018-09-24,10
2018-10-01,12
2018-10-08,3
2018-10-15,7
2018-10-22,7
2018-10-29,4
2018-11-05,3
2018-11-12,4
2018-11-19,3
2018-11-26,5
2018-12-03,7
2018-12-10,3
2018-12-17,1
2018-12-24,2
2018-12-31,5
2019-01-07,14
2019-01-14,3
2019-01-21,4
2019-01-28,5
2019-02-04,7
2019-02-11,6
2019-02-18,4
2019-02-25,6
2019-03-04,11
2019-03-11,3
2019-03-18,7
2019-03-25,8
2019-04-01,8
2019-04-08,9
2019-04-15,4
2019-04-22,6
2019-04-29,13
2019-05-06,7
2019-05-13,9
2019-05-20,2
2019-05-27,2
2019-06-03,7
2019-06-10,8
2019-06-17,9
2019-06-24,4
2019-07-01,3
2019-07-08,7
2019-07-15,6
2019-07-22,6
2019-07-29,11
2019-08-05,11
2019-08-12,3
2019-08-19,6
2019-08-26,4
2019-09-02,9
