week,count
2017-01-16,3
2017-01-23,3
2017-01-30,1
2017-02-06,2
2017-02-13,11
2017-02-20,9
2017-02-27,9
2017-03-06,8
2017-03-13,8
2017-03-20,8
2017-03-27,5
2017-04-03,8
2017-04-10,2
2017-04-17,6
2017-04-24,17
2017-05-01,20
2017-05-08,9
2017-05-15,10
2017-05-22,14
2017-05-29,12
2017-06-05,3
2017-06-12,14
2017-06-19,14
2017-06-26,8
2017-07-03,11
2017-07-10,10
2017-07-17,4
2017-07-24,6
2017-07-31,6
2017-08-07,231
2017-08-14,194
2017-08-21,58
2017-08-28,27
2017-09-04,21
2017-09-11,29
2017-09-18,55
2017-09-25,79
2017-10-02,30
2017-10-09,29
2017-10-16,37
2017-10-23,17
2017-10-30,14
2017-11-06,14
2017-11-13,32
2017-11-20,13
2017-11-27,18
2017-12-04,7
2017-12-11,9
2017-12-18,1
2018-01-01,2
2018-01-08,7
2018-01-15,89
2018-01-22,10
2018-01-29,15
2018-02-05,9
2018-02-12,14
2018-02-19,6
2018-02-26,9
2018-03-05,7
2018-03-12,3
2018-03-19,11
2018-03-26,23
2018-04-02,10
2018-04-09,14
2018-04-16,28
2018-04-23,9
2018-04-30,15
2018-05-07,8
2018-05-14,8
2018-05-21,8
2018-05-28,9
2018-06-04,8
2018-06-11,5
2018-06-18,15
2018-06-25,10
2018-07-02,9
2018-07-09,5
2018-07-16,9
2018-07-23,5
2018-07-30,20
2018-08-06,19
2018-08-13,16
2018-08-20,16
2018-08-27,13
2018-09-03,15
2018-09-10,10
2018-09-17,12
2018-09-24,14
2018-10-01,18
2018-10-08,7
2018-10-15,9
2018-10-22,13
2018-10-29,8
2018-11-05,11
2018-11-12,11
2018-11-19,4
2018-11-26,9
2018-12-03,7
2018-12-10,3
2018-12-17,1
2018-12-24,2
2018-12-31,5
2019-01-07,13
2019-01-14,22
2019-01-21,81
2019-01-28,8
2019-02-04,11
2019-02-11,6
2019-02-18,13
2019-02-25,10
2019-03-04,11
2019-03-11,7
2019-03-18,8
2019-03-25,7
2019-04-01,9
2019-04-08,8
2019-04-15,6
2019-04-22,8
2019-04-29,23
2019-05-06,12
2019-05-13,10
2019-05-20,9
2019-05-27,4
2019-06-03,4
2019-06-10,7
2019-06-17,10
2019-06-24,4
2019-07-01,9
2019-07-08,8
2019-07-15,4
2019-07-22,11
2019-07-29,12
2019-08-05,14
2019-08-12,9
2019-08-19,10
2019-08-26,7
2019-09-02,3
