week,count
2017-03-27,1
2017-05-08,1
2017-05-22,1
2017-06-12,1
2017-06-26,1
2017-07-17,2
2017-08-14,1
2017-10-02,2
2017-10-09,1
2017-12-18,1
2017-12-25,1
2018-01-01,1
2018-04-16,2
2018-04-23,1
2018-04-30,1
2018-05-14,1
2018-05-28,1
2018-06-11,1
2018-07-09,1
2018-07-30,1
2018-09-03,1
2018-10-01,1
2018-10-08,3
2018-10-15,1
2018-10-22,1
2018-10-29,1
2018-11-05,4
2018-11-12,2
2018-11-26,1
2019-01-07,1
2019-01-14,1
2019-01-28,1
2019-02-04,1
2019-02-11,1
2019-03-04,1
2019-03-11,2
2019-03-25,1
2019-04-01,1
2019-04-15,1
2019-05-06,3
2019-06-10,2
2019-06-24,1
2019-07-22,1
2019-08-26,1
2019-09-02,1
