week,count
2017-01-16,428
2017-01-23,7
2017-01-30,1
2017-02-06,90
2017-02-13,3
2017-02-20,6
2017-02-27,9
2017-03-06,83
2017-03-13,3
2017-03-20,6
2017-03-27,7
2017-04-03,16
2017-04-10,11
2017-04-17,7
2017-04-24,10
2017-05-01,6
2017-05-08,3
2017-05-15,1
2017-05-22,1
2017-05-29,1
2017-06-05,2
2017-06-12,3
2017-06-19,3
2017-06-26,5
2017-07-03,2
2017-07-10,2
2017-07-17,1
2017-07-24,9
2017-07-31,1
2017-08-07,2
2017-08-14,2
2017-08-21,7
2017-08-28,2
2017-09-04,2
2017-09-11,4
2017-09-18,1
2017-09-25,14
2017-10-02,7
2017-10-09,12
2017-10-16,5
2017-10-23,10
2017-10-30,4
2017-11-06,3
2017-11-13,2
2017-11-27,2
2017-12-04,4
2017-12-11,3
2018-01-01,1
2018-01-08,9
2018-01-15,270
2018-01-22,23
2018-01-29,3
2018-02-05,5
2018-02-12,8
2018-02-19,3
2018-02-26,5
2018-03-05,16
2018-03-12,1
2018-03-19,6
2018-03-26,16
2018-04-02,4
2018-04-09,12
2018-04-16,10
2018-04-23,13
2018-04-30,3
2018-05-07,5
2018-05-14,1
2018-05-21,1
2018-05-28,2
2018-06-04,3
2018-06-11,3
2018-06-25,6
2018-07-02,1
2018-07-09,2
2018-07-23,2
2018-07-30,2
2018-08-06,4
2018-08-13,4
2018-08-20,5
2018-09-03,2
2018-09-10,1
2018-09-17,25
2018-09-24,76
2018-10-01,105
2018-10-08,24
2018-10-15,10
2018-10-22,3
2018-10-29,20
2018-11-05,3
2018-11-12,4
2018-11-19,3
2018-12-03,2
2018-12-10,1
2018-12-17,5
2019-01-07,11
2019-01-14,151
2019-01-21,34
2019-01-28,3
2019-02-04,3
2019-02-11,8
2019-02-18,8
2019-02-25,4
2019-03-04,14
2019-03-11,8
2019-03-18,9
2019-03-25,3
2019-04-01,10
2019-04-08,14
2019-04-15,10
2019-04-22,11
2019-04-29,12
2019-05-06,11
2019-05-13,17
2019-05-20,237
2019-05-27,8
2019-06-03,8
2019-06-10,7
2019-06-17,8
2019-06-24,3
2019-07-01,3
2019-07-08,4
2019-07-15,3
2019-07-29,2
2019-08-05,2
2019-08-12,1
2019-08-19,7
2019-08-26,1
2019-09-02,3
